,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,12.0,98.0,6.0,53.0,131.0,310.0,33.0,50.0,292.0,36.0,58.0,199.0,107.0,16.0,100.071
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.495,0.672,1.0,0.921,0.869,0.568,0.757,0.903,0.763,0.536,0.905,0.941,0.957,0.998,0.806
PA,0.0,0.169,0.694,0.496,0.262,0.163,0.018,0.659,0.166,0.245,0.359,0.036,0.342,0.354,0.283
FGA,0.4,0.815,1.0,0.718,0.702,0.306,0.658,0.75,0.758,0.516,0.511,0.695,0.819,0.867,0.68
PTA,0.0,0.316,0.5,0.302,0.214,0.065,0.091,0.42,0.185,0.194,0.207,0.176,0.224,0.25,0.225
RTA,0.0,0.263,0.5,0.32,0.246,0.267,0.07,0.457,0.158,0.269,0.333,0.235,0.2,0.286,0.257
FTA,0.0,0.287,0.5,0.311,0.229,0.104,0.079,0.437,0.171,0.226,0.255,0.201,0.211,0.267,0.234
NPOP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
NGEN,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
CXPB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
MUTPB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Q,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SEED,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
