,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,18.0,112.0,6.0,46.0,103.0,312.0,299.0,47.0,394.0,24.0,33.0,182.0,108.0,16.0,121.429
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.526,0.69,1.0,0.967,0.948,0.78,0.733,0.887,0.786,0.789,0.922,0.955,0.963,0.998,0.853
PA,0.0,0.183,0.694,0.497,0.269,0.231,0.018,0.635,0.217,0.508,0.362,0.046,0.342,0.354,0.311
FGA,0.538,0.93,1.0,0.854,0.82,0.351,0.117,0.753,0.797,0.88,0.87,0.773,0.833,0.867,0.742
PTA,0.0,0.446,0.5,0.37,0.291,0.067,0.01,0.362,0.185,0.458,0.515,0.225,0.222,0.25,0.279
RTA,0.0,0.424,0.5,0.34,0.263,0.28,0.07,0.37,0.214,0.423,0.472,0.275,0.2,0.286,0.294
FTA,0.0,0.435,0.5,0.354,0.276,0.109,0.018,0.366,0.199,0.44,0.493,0.248,0.211,0.267,0.28
NPOP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
NGEN,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
CXPB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
MUTPB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Q,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SEED,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
