,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,12.0,98.0,6.0,44.0,97.0,184.0,32.0,44.0,313.0,24.0,29.0,142.0,106.0,14.0,81.786
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.516,0.671,1.0,0.962,0.954,0.822,0.331,0.829,0.67,0.541,0.92,0.663,0.939,1.0,0.773
PA,0.0,0.148,0.694,0.452,0.104,0.149,0.0,0.637,0.041,0.0,0.321,0.029,0.292,0.0,0.205
FGA,0.6,0.796,1.0,0.745,0.863,0.463,0.693,0.711,0.743,0.72,0.769,0.784,0.832,1.0,0.766
PTA,0.0,0.153,0.5,0.273,0.216,0.071,0.0,0.432,0.067,0.0,0.31,0.19,0.151,0.0,0.169
RTA,0.0,0.127,0.5,0.24,0.184,0.173,0.0,0.413,0.062,0.0,0.25,0.181,0.133,0.0,0.162
FTA,0.0,0.139,0.5,0.255,0.199,0.1,0.0,0.422,0.064,0.0,0.277,0.186,0.142,0.0,0.163
NPOP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
NGEN,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
CXPB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
MUTPB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Q,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SEED,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
