,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.49,0.42,0.37,0.4,0.4,0.3,0.49,0.35,0.45,0.42,0.45,0.42,0.38,0.43,0.412
identified_templates,8.0,106.0,6.0,47.0,103.0,302.0,26.0,46.0,273.0,31.0,29.0,138.0,104.0,15.0,88.143
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.025,0.279,1.0,0.839,0.9,0.548,0.2,0.817,0.599,0.5,0.994,0.648,0.854,0.885,0.649
PA,0.0,0.025,0.688,0.287,0.239,0.148,0.007,0.609,0.102,0.164,0.356,0.025,0.23,0.155,0.217
FGA,0.375,0.795,1.0,0.763,0.627,0.244,0.522,0.63,0.681,0.667,0.769,0.767,0.562,0.759,0.654
PTA,0.0,0.151,0.333,0.149,0.126,0.043,0.038,0.304,0.092,0.161,0.207,0.159,0.077,0.067,0.136
RTA,0.0,0.136,0.333,0.14,0.114,0.173,0.023,0.304,0.073,0.192,0.167,0.148,0.067,0.071,0.139
FTA,0.0,0.143,0.333,0.144,0.12,0.069,0.029,0.304,0.081,0.175,0.185,0.153,0.071,0.069,0.134
NPOP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
NGEN,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
CXPB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
MUTPB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Q,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SEED,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
