,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.23,6.41,2.4,2.2,2.93,1.92,9.05,1.73,2.419
identified_templates,56.0,115.0,6.0,56.0,151.0,1017.0,134.0,176.0,450.0,24.0,98.0,188.0,317.0,16.0,200.286
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.508,0.701,1.0,0.841,0.885,0.174,0.732,0.83,0.698,0.926,0.883,0.943,0.69,0.998,0.772
PA,0.0,0.122,0.0,0.452,0.083,0.129,0.018,0.632,0.125,0.133,0.004,0.025,0.082,0.01,0.13
FGA,0.156,0.944,1.0,0.755,0.672,0.114,0.226,0.297,0.655,0.88,0.373,0.748,0.412,0.867,0.578
PTA,0.0,0.426,0.0,0.214,0.113,0.022,0.022,0.108,0.127,0.208,0.071,0.191,0.044,0.062,0.115
RTA,0.0,0.415,0.0,0.24,0.149,0.293,0.07,0.413,0.167,0.192,0.194,0.242,0.117,0.071,0.183
FTA,0.0,0.421,0.0,0.226,0.128,0.04,0.034,0.171,0.144,0.2,0.104,0.214,0.064,0.067,0.13
NPOP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
NGEN,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
CXPB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
MUTPB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Q,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SEED,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
