,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.47,0.38,0.35,0.25,0.38,0.31,0.4,0.25,0.4,0.33,0.39,0.36,0.58,0.39,0.374
identified_templates,357.0,171.0,52.0,77.0,298.0,705.0,385.0,148.0,438.0,228.0,426.0,300.0,284.0,345.0,301.0
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.478,0.628,0.709,0.732,0.563,0.53,0.696,0.787,0.604,0.424,0.798,0.599,0.835,0.546,0.638
PA,0.0,0.106,0.0,0.452,0.085,0.131,0.011,0.632,0.154,0.068,0.006,0.029,0.067,0.0,0.124
FGA,0.011,0.754,0.103,0.583,0.383,0.154,0.075,0.309,0.621,0.118,0.121,0.535,0.416,0.033,0.301
PTA,0.0,0.228,0.0,0.156,0.07,0.034,0.003,0.128,0.126,0.009,0.028,0.14,0.046,0.0,0.069
RTA,0.0,0.331,0.0,0.24,0.184,0.32,0.023,0.413,0.161,0.077,0.333,0.282,0.108,0.0,0.177
FTA,0.0,0.27,0.0,0.189,0.102,0.062,0.005,0.196,0.141,0.016,0.052,0.187,0.064,0.0,0.092
NPOP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
NGEN,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
CXPB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
MUTPB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Q,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SEED,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
