,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,13.23,7.65,3.9,4.78,8.04,7.57,10.58,9.91,9.03,7.49,9.16,8.22,0.75,2.04,7.311
identified_templates,300.0,96.0,6.0,245.0,127.0,301.0,471.0,356.0,336.0,637.0,23.0,180.0,49.0,15.0,224.429
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.516,0.612,1.0,0.688,0.87,0.686,0.743,0.784,0.876,0.429,0.576,0.918,0.725,0.851,0.734
PA,0.0,0.097,0.694,0.452,0.255,0.218,0.011,0.632,0.222,0.068,0.167,0.036,0.105,0.0,0.211
FGA,0.039,0.794,1.0,0.237,0.705,0.245,0.078,0.134,0.845,0.054,0.441,0.681,0.308,0.759,0.451
PTA,0.0,0.281,0.5,0.049,0.213,0.056,0.002,0.053,0.199,0.003,0.174,0.194,0.082,0.0,0.129
RTA,0.0,0.229,0.5,0.24,0.237,0.227,0.023,0.413,0.196,0.077,0.111,0.235,0.033,0.0,0.18
FTA,0.0,0.252,0.5,0.081,0.224,0.09,0.004,0.095,0.198,0.006,0.136,0.213,0.047,0.0,0.132
NPOP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
NGEN,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
CXPB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
MUTPB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Q,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SEED,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
