,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,0.42,0.35,0.25,0.22,0.33,0.22,0.36,0.2,0.35,0.32,0.38,0.36,0.24,0.33,0.309
identified_templates,14.0,32.0,16.0,47.0,104.0,542.0,37.0,49.0,417.0,26.0,265.0,51.0,122.0,23.0,124.643
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.503,0.361,0.312,0.724,0.451,0.267,0.326,0.91,0.568,0.611,0.282,0.554,0.587,0.93,0.528
PA,0.0,0.124,0.006,0.473,0.113,0.112,0.0,0.643,0.169,0.298,0.259,0.004,0.124,0.004,0.166
FGA,0.455,0.16,0.364,0.454,0.303,0.104,0.575,0.653,0.596,0.769,0.073,0.22,0.479,0.595,0.414
PTA,0.0,0.125,0.125,0.234,0.106,0.024,0.0,0.367,0.146,0.231,0.023,0.118,0.09,0.043,0.117
RTA,0.0,0.034,0.333,0.22,0.096,0.173,0.0,0.391,0.179,0.231,0.167,0.04,0.092,0.071,0.145
FTA,0.0,0.053,0.182,0.227,0.101,0.042,0.0,0.379,0.161,0.231,0.04,0.06,0.091,0.054,0.116
NPOP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
NGEN,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
CXPB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
MUTPB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Q,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SEED,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
