,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,14.63,19.67,3.16,10.65,37.47,30.48,144.32,23.84,161.3,20.21,526.88,113.65,62.69,11.74,84.335
identified_templates,22.0,115.0,6.0,46.0,170.0,83.0,520.0,77.0,648.0,25.0,780.0,195.0,137.0,16.0,202.857
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.013,0.224,1.0,0.839,0.89,0.338,0.213,0.806,0.603,0.541,0.442,0.659,0.937,0.998,0.607
PA,0.0,0.028,0.0,0.451,0.08,0.027,0.0,0.632,0.037,0.0,0.003,0.017,0.08,0.0,0.097
FGA,0.067,0.841,1.0,0.771,0.676,0.722,0.057,0.472,0.504,0.706,0.061,0.715,0.786,0.867,0.589
PTA,0.0,0.104,0.0,0.239,0.071,0.181,0.0,0.247,0.028,0.0,0.006,0.118,0.088,0.0,0.077
RTA,0.0,0.102,0.0,0.22,0.105,0.2,0.0,0.413,0.053,0.0,0.139,0.154,0.1,0.0,0.106
FTA,0.0,0.103,0.0,0.229,0.085,0.19,0.0,0.309,0.036,0.0,0.012,0.134,0.093,0.0,0.085
NPOP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
NGEN,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
CXPB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
MUTPB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Q,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SEED,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
