,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,3.17,5.9,4.25,5.18,4.62,3.24,3.94,4.41,4.99,5.37,5.05,4.4,4.06,2.77,4.382
identified_templates,18.0,13.0,10.0,36.0,13.0,12.0,28.0,37.0,232.0,19.0,31.0,29.0,79.0,11.0,40.571
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.518,0.296,0.731,0.726,0.422,0.331,0.867,0.839,0.557,0.521,0.685,0.882,0.573,0.545,0.607
PA,0.0,0.12,0.424,0.451,0.218,0.323,0.076,0.645,0.174,0.298,0.377,0.008,0.198,0.287,0.257
FGA,0.462,0.076,0.625,0.442,0.094,0.092,0.732,0.53,0.457,0.4,0.358,0.213,0.302,0.32,0.364
PTA,0.0,0.154,0.2,0.167,0.154,0.25,0.25,0.378,0.177,0.316,0.129,0.034,0.152,0.182,0.182
RTA,0.0,0.017,0.333,0.12,0.018,0.04,0.163,0.304,0.12,0.231,0.111,0.007,0.1,0.143,0.122
FTA,0.0,0.031,0.25,0.14,0.031,0.069,0.197,0.337,0.143,0.267,0.119,0.011,0.121,0.16,0.134
NPOP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
NGEN,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
CXPB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
MUTPB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Q,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SEED,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
