,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,1.87,0.8,0.66,0.66,0.91,0.69,3.1,0.6,14.74,2.2,1.48,1.62,2.58,2.08,2.428
identified_templates,94.0,99.0,6.0,57.0,167.0,214.0,451.0,46.0,358.0,27.0,58.0,152.0,262.0,14.0,143.214
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.526,0.605,1.0,0.964,0.777,0.639,0.764,0.654,0.756,0.555,0.905,0.844,0.786,1.0,0.77
PA,0.0,0.087,0.694,0.452,0.113,0.152,0.0,0.529,0.033,0.191,0.321,0.026,0.197,0.297,0.221
FGA,0.137,0.802,1.0,0.729,0.605,0.367,0.089,0.739,0.684,0.679,0.511,0.638,0.487,1.0,0.605
PTA,0.0,0.162,0.5,0.211,0.138,0.065,0.0,0.391,0.053,0.222,0.155,0.145,0.042,0.214,0.164
RTA,0.0,0.136,0.5,0.24,0.202,0.187,0.0,0.391,0.056,0.231,0.25,0.148,0.092,0.214,0.189
FTA,0.0,0.147,0.5,0.224,0.164,0.097,0.0,0.391,0.054,0.226,0.191,0.146,0.058,0.214,0.172
NPOP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
NGEN,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
CXPB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
MUTPB,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Q,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SEED,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
