,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,109.64,70.44,65.59,48.83,138.88,124.76,184.89,37.46,372.1,76.4,191.19,157.29,105.48,128.25,129.371
identified_templates,11.0,144.0,6.0,51.0,252.0,75.0,404.0,79.0,331.0,139.0,353.0,238.0,122.0,17.0,158.714
ground_templates,8.0,118.0,6.0,50.0,114.0,75.0,43.0,46.0,341.0,26.0,36.0,149.0,120.0,14.0,81.857
GA,0.025,0.176,1.0,0.969,0.75,1.0,0.224,0.912,0.786,0.626,0.553,0.645,0.846,0.841,0.668
PA,0.0,0.123,0.27,0.178,0.017,0.698,0.0,0.444,0.112,0.029,0.175,0.032,0.121,0.068,0.162
FGA,0.316,0.832,1.0,0.832,0.481,1.0,0.076,0.56,0.857,0.255,0.118,0.646,0.893,0.774,0.617
PTA,0.0,0.292,0.167,0.176,0.071,0.4,0.0,0.228,0.148,0.029,0.023,0.164,0.246,0.118,0.147
RTA,0.0,0.356,0.167,0.18,0.158,0.4,0.0,0.391,0.144,0.154,0.222,0.262,0.25,0.143,0.202
FTA,0.0,0.321,0.167,0.178,0.098,0.4,0.0,0.288,0.146,0.048,0.041,0.202,0.248,0.129,0.162
NPOP,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
NGEN,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
CXPB,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
MUTPB,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
