Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA,NPOP,NGEN,CXPB,MUTPB,Q,SEED
Proxifier,-1.00,12,8,0.495,0.000,0.400,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Linux,-1.00,98,118,0.672,0.169,0.815,0.316,0.263,0.287,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Apache,-1.00,6,6,1.000,0.694,1.000,0.500,0.500,0.500,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Zookeeper,-1.00,53,50,0.921,0.496,0.718,0.302,0.320,0.311,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Hadoop,-1.00,131,114,0.869,0.262,0.702,0.214,0.246,0.229,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HealthApp,-1.00,310,75,0.568,0.163,0.306,0.065,0.267,0.104,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenStack,-1.00,33,43,0.757,0.018,0.658,0.091,0.070,0.079,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HPC,-1.00,50,46,0.903,0.659,0.750,0.420,0.457,0.437,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Mac,-1.00,292,341,0.763,0.166,0.758,0.185,0.158,0.171,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenSSH,-1.00,36,26,0.536,0.245,0.516,0.194,0.269,0.226,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Spark,-1.00,58,36,0.905,0.359,0.511,0.207,0.333,0.255,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Thunderbird,-1.00,199,149,0.941,0.036,0.695,0.176,0.235,0.201,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
BGL,-1.00,107,120,0.957,0.342,0.819,0.224,0.200,0.211,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HDFS,-1.00,16,14,0.998,0.354,0.867,0.250,0.286,0.267,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
