Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA,NPOP,NGEN,CXPB,MUTPB,Q,SEED
Proxifier,-1.00,18,8,0.526,0.000,0.538,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Linux,-1.00,112,118,0.690,0.183,0.930,0.446,0.424,0.435,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Apache,-1.00,6,6,1.000,0.694,1.000,0.500,0.500,0.500,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Zookeeper,-1.00,46,50,0.967,0.497,0.854,0.370,0.340,0.354,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Hadoop,-1.00,103,114,0.948,0.269,0.820,0.291,0.263,0.276,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HealthApp,-1.00,312,75,0.780,0.231,0.351,0.067,0.280,0.109,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenStack,-1.00,299,43,0.733,0.018,0.117,0.010,0.070,0.018,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HPC,-1.00,47,46,0.887,0.635,0.753,0.362,0.370,0.366,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Mac,-1.00,394,341,0.786,0.217,0.797,0.185,0.214,0.199,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenSSH,-1.00,24,26,0.789,0.508,0.880,0.458,0.423,0.440,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Spark,-1.00,33,36,0.922,0.362,0.870,0.515,0.472,0.493,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Thunderbird,-1.00,182,149,0.955,0.046,0.773,0.225,0.275,0.248,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
BGL,-1.00,108,120,0.963,0.342,0.833,0.222,0.200,0.211,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HDFS,-1.00,16,14,0.998,0.354,0.867,0.250,0.286,0.267,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
