Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA,NPOP,NGEN,CXPB,MUTPB,Q,SEED
Proxifier,-1.00,12,8,0.516,0.000,0.600,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Linux,-1.00,98,118,0.671,0.148,0.796,0.153,0.127,0.139,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Apache,-1.00,6,6,1.000,0.694,1.000,0.500,0.500,0.500,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Zookeeper,-1.00,44,50,0.962,0.452,0.745,0.273,0.240,0.255,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Hadoop,-1.00,97,114,0.954,0.104,0.863,0.216,0.184,0.199,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HealthApp,-1.00,184,75,0.822,0.149,0.463,0.071,0.173,0.100,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenStack,-1.00,32,43,0.331,0.000,0.693,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HPC,-1.00,44,46,0.829,0.637,0.711,0.432,0.413,0.422,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Mac,-1.00,313,341,0.670,0.041,0.743,0.067,0.062,0.064,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenSSH,-1.00,24,26,0.541,0.000,0.720,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Spark,-1.00,29,36,0.920,0.321,0.769,0.310,0.250,0.277,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Thunderbird,-1.00,142,149,0.663,0.029,0.784,0.190,0.181,0.186,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
BGL,-1.00,106,120,0.939,0.292,0.832,0.151,0.133,0.142,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HDFS,-1.00,14,14,1.000,0.000,1.000,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
