EventId,EventTemplate,Occurrences
8c73eca7,<*> - <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,36
a610715e,<*> <*> <*> <*> <*> <*> <*> 0,39
bd539e71,<*> dealloc,17
117fc3cb,ARPT: <*> <*> <*>,40
84d99a6c,<*> <*> <*> for <*> <*> <*>,10
4686cbdc,ARPT: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,24
d3b209f8,ARPT: <*> <*> <*> <*> <*> <*> <*> <*>,11
a2f77a93,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,16
c324822f,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,15
31f56999,ARPT: <*> <*> <*> <*> <*> <*> <*> <*> <*>,28
d460e4cb,<*> - <*> <*> <*>,67
de4ecee6,<*> <*> to <*>,7
35286b15,"<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",165
0165f8eb,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,7
bb18982e,<*> <<<< <*> >>>> <*> <*> <*> <*> <*> <*> <*> <*>,3
3805e353,AirPort: Link <*> on <*> <*> 1 <*>,7
5fd834ee,"PM response took <*> ms (54, powerd)",9
5ec1a186,ARPT: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,11
f2768c7c,<*> <*> changed <*> <*> <*> <*> <*> <*>,15
1b30f5d7,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",11
35e93374,<*> : <*> <*> <*> <*> <*> <*> <*> <*>,2
64851176,CCFile::captureLogRun() Exiting CCFile::captureLogRun,22
269b9290,<*> deny network-outbound /private/var/run/mDNSResponder,29
d2051d74,ARPT: <*> <*> <*> <*> <*> <*>,44
fa6c7ef6,AirPort: Link <*> on <*>,13
fc7d3cb9,Sandbox: <*> deny(1) network-outbound /private/var/run/mDNSResponder,29
c39cdf97,<*> - <*> <*> <*> <*> <*>,22
d00775dd,ARPT: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,17
85fdbcb2,<*> <*> changed,10
cf9a2d06,<*> - <*> <*> <*> <*> <*> <*>,6
f46646cd,AppleCamIn::wakeEventHandlerThread,20
1efd5b6e,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null) <*> <*> +0000 confidence=1 from=(null)/(null) (UABestAppSuggestionManager.m #319),14
e5f4d9b1,en0: <*> changed to <*>,36
27a785bd,<*> <*> <*> <*> <*> <*> <*> = <*>,20
fbefdf84,<*> <*> <*> <*> <*> <*> from <*> <*> <*>,14
00d852eb,Unrecognized <*> <*> <*>,8
206dde8e,<*> <*> with <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,12
e0f4bcd3,<*> <*> <*> <*> <*> to <*> <*> <*>,3
499d805e,<*> : <*> <*> <*> <*>,19
3146a81b,button report: <*>,20
66037968,<*> <*> <*> Error <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
1d6030fa,Location icon should now be in state <*>,37
d53cefe6,<*> <*> <*> - <*> <*> <*> <*> <*> <*>,10
2db82054,"Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0",7
c930cfe3,Captive: <*> en0: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,3
5dd377fb,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from <*> to <*>,6
25be8b4b,<*> <*> <*> of the <*> <*> <*> <*> <*> <*> <*>,17
ac7d5202,<*> : <*> <*> <*>,8
5071c816,Captive: CNPluginHandler en0: <*>,15
c37e35e1,<*> <*> <*> to <*> <*> <*> <*> <*> <*>,27
f8b3c0a2,AirPort: Link <*> on <*> <*> <*> <*> <*> <*> <*>,5
a5f45ef9,"USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820, 3",12
98450438,<*> <*> for <*> <*>,2
c0d6d178,<*> <*> to <*> <*>,4
e5d7651b,Saw change in network reachability <*>,4
4990a870,[HID] <*> <*> Wake <*> <*> <*>,8
4edb99bb,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,44
c9629790,-[NETClientConnection effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID,13
07a6f500,RTC: <*> <*> <*> <*> <*> <*>,5
d2a6afcf,RTC: <*> <*> <*>,11
1e65ab9b,en0: <*> <*> <*> <*> <*> <*>,5
2c552c0f,ARPT: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,9
62e5fd77,<*> deny <*> <*>,6
aefaed9e,[HID] <*> <*> <*>,5
6d087c3f,[BluetoothHIDDeviceController] <*>,3
c58c201b,<*> <*> <*> took <*> <*>,1
333eb8e2,dnssd_clientstub ConnectToServer: <*> failed <*> <*> <*> <*> <*> <*> <*>,13
4ad442d2,"pages <*> wire <*> act <*> inact <*> cleaned 0 spec <*> zf <*> throt 0, compr <*> xpmapped 40000",3
72ede58d,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> start <*> <*> <*> <*> <*> <*>,1
28dbc877,handle_will_sleep_auth_and_shield_windows: Reordering authw 0x7fa823a04400(2004) (lock state: 3),1
cce305d3,<*> <*> <*> [lvl=2] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
b6feef5e,Error <*> <*> <*> <*>,13
0b8e8ddf,tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_invoke.434 error 22,8
666b7daa,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> in <*> <*> <*> <*> <*> <*> <*>,5
007698dc,<*> <*> <*> <*> to <*> <*> <*> <*> <*> <*> <*> <*> <*>,26
3182b891,<*> <*> <*> <*> <*> in <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
40c73cdf,"<*> scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",1
45ad74de,<*> authw <*> <*> <*>,3
85aea232,<*> <*> to <*> <*> to <*> <*> <*> <*> <*> <*>,5
e5b12c31,"NETWORK: requery, 0, 0, 0, 0, <*> items, fQueryRetries, 0, fLastRetryTimestamp, <*>",15
a7c83e31,<*> sleep <*> <*>,15
5c346651,Wake reason: <*> <*>,9
0f035c9e,<*> - <*> <*> <*> <*> <*> <*> <*>,15
94b5d26c,network changed: <*> <*> <*> <*> <*>,8
0bc308f5,hibernate_page_list_setall found pageCount <*>,2
e9526ca3,<*> <*> <*> <*> <*> <*> <*> a <*> <*> <*> <*> <*> <*>,2
