Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA,NPOP,NGEN,CXPB,MUTPB,Q,SEED
Proxifier,-1.00,56,8,0.508,0.000,0.156,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Linux,-1.00,115,118,0.701,0.122,0.944,0.426,0.415,0.421,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Apache,-1.00,6,6,1.000,0.000,1.000,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Zookeeper,-1.00,56,50,0.841,0.452,0.755,0.214,0.240,0.226,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Hadoop,-1.00,151,114,0.885,0.083,0.672,0.113,0.149,0.128,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HealthApp,-1.00,1017,75,0.174,0.129,0.114,0.022,0.293,0.040,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenStack,13.23,134,43,0.732,0.018,0.226,0.022,0.070,0.034,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HPC,6.41,176,46,0.830,0.632,0.297,0.108,0.413,0.171,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Mac,2.40,450,341,0.698,0.125,0.655,0.127,0.167,0.144,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenSSH,2.20,24,26,0.926,0.133,0.880,0.208,0.192,0.200,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Spark,2.93,98,36,0.883,0.004,0.373,0.071,0.194,0.104,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Thunderbird,1.92,188,149,0.943,0.025,0.748,0.191,0.242,0.214,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
BGL,9.05,317,120,0.690,0.082,0.412,0.044,0.117,0.064,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HDFS,1.73,16,14,0.998,0.010,0.867,0.062,0.071,0.067,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
