Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA,NPOP,NGEN,CXPB,MUTPB,Q,SEED
Proxifier,0.47,357,8,0.478,0.000,0.011,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Linux,0.38,171,118,0.628,0.106,0.754,0.228,0.331,0.270,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Apache,0.35,52,6,0.709,0.000,0.103,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Zookeeper,0.25,77,50,0.732,0.452,0.583,0.156,0.240,0.189,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Hadoop,0.38,298,114,0.563,0.085,0.383,0.070,0.184,0.102,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HealthApp,0.31,705,75,0.530,0.131,0.154,0.034,0.320,0.062,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenStack,0.40,385,43,0.696,0.011,0.075,0.003,0.023,0.005,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HPC,0.25,148,46,0.787,0.632,0.309,0.128,0.413,0.196,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Mac,0.40,438,341,0.604,0.154,0.621,0.126,0.161,0.141,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenSSH,0.33,228,26,0.424,0.068,0.118,0.009,0.077,0.016,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Spark,0.39,426,36,0.798,0.006,0.121,0.028,0.333,0.052,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Thunderbird,0.36,300,149,0.599,0.029,0.535,0.140,0.282,0.187,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
BGL,0.58,284,120,0.835,0.067,0.416,0.046,0.108,0.064,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HDFS,0.39,345,14,0.546,0.000,0.033,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
