EventId,EventTemplate,Occurrences
fb195195,<*> <*> <*> <*> <*>,64
fb195195,63543 double-hummer alignment exceptions,64
fb195195,<*> <*> <*> at <*> <*> <*> <*> <*> <*>,64
fb195195,<*> <*> <*> <*> <*> <*>,64
6c859084,generating ,109
6c859084,force load/store alignment...............0,109
6c859084,<*> <*> <*>,109
505535fa,machine <*> <*> <*>,92
be2214fc,program <*> <*> <*> <*>,164
be2214fc,<*> <*> register: <*>,164
505535fa,store operation.............................1,92
9d75e092,<*> state <*>,721
9d75e092,floating <*> <*> <*> <*> <*>,721
9d75e092,auxiliary processor.........................0,721
9d75e092,<*> <*>,721
9d75e092,byte ordering exception.....................0,721
9d75e092,guaranteed instruction cache block touch.0,721
9d75e092,icache prefetch depth....................0,721
9d75e092,critical input interrupt <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,721
9d75e092,special purpose registers:,721
9d75e092,lr:00004ed0 cr:28244842 xer:20000002 ctr:00086000,721
9d75e092,disable store gathering..................0,721
9d75e092,<*> of <*> <*> <*> <*> <*> <*>,721
9d75e092,Node card <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> not <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,721
9d75e092,Ido chip status changed: <*> <*> <*> <*> status=M <*> <*> <*> <*> PDT 2005,721
9d75e092,<*> <*> <*> <*> <*> for <*> <*>,721
9d75e092,<*> <*> <*> <*> <*> <*> (dcr <*> detected <*> <*> <*> <*> <*>,721
9d75e092,rts <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,721
9d75e092,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,721
9d75e092,8 floating point alignment exceptions,721
9d75e092,New ido chip inserted into the database: FF:F2:9F:15:1F:72:00:0D:60:EA:E0:8D ip=10.7.0.13 v=9 t=2,721
9f7cd7e7,NodeCard is not fully functional,2
9d75e092,"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",721
9d75e092,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> of <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,721
9d75e092,iar <*> dear <*>,721
9d75e092,<*> <*> <*> on <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,721
9d75e092,Lustre mount FAILED : bglio559 : point /p/gb1,721
9d75e092,<*> <*> <*> of <*> type <*> <*> <*> <*> <*> <*> <*> <*> <*>,721
9d75e092,shutdown complete,721
9d75e092,3 L3 EDRAM error(s) (dcr 0x0157) detected and corrected,721
9d75e092,dbcr0=0x00000000 dbsr=0x00000000 ccr0=0x40002000,721
9d75e092,r24=0x0ffea4c8 r25=0x00000003 r26=0x0000000f r27=0xffffd000,721
9d75e092,0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,721
9d75e092,"10722 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",721
9d75e092,Kernel detected <*> integer alignment exceptions <*> iar <*> dear <*> <*> iar <*> dear <*> <*> iar <*> dear <*> <*> iar <*> dear <*> <*> iar <*> dear <*> <*> iar <*> dear <*> <*> iar <*> dear <*> <*> iar <*> dear <*>,721
9d75e092,minus normalized number..................0,721
9d75e092,fraction rounded.........................0,721
9d75e092,fpr29=0xffffffff ffffffff ffffffff ffffffff,721
9d75e092,Machine State Register: 0x0002f900,721
