Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA,NPOP,NGEN,CXPB,MUTPB,Q,SEED
Proxifier,13.23,300,8,0.516,0.000,0.039,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Linux,7.65,96,118,0.612,0.097,0.794,0.281,0.229,0.252,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Apache,3.90,6,6,1.000,0.694,1.000,0.500,0.500,0.500,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Zookeeper,4.78,245,50,0.688,0.452,0.237,0.049,0.240,0.081,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Hadoop,8.04,127,114,0.870,0.255,0.705,0.213,0.237,0.224,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HealthApp,7.57,301,75,0.686,0.218,0.245,0.056,0.227,0.090,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenStack,10.58,471,43,0.743,0.011,0.078,0.002,0.023,0.004,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HPC,9.91,356,46,0.784,0.632,0.134,0.053,0.413,0.095,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Mac,9.03,336,341,0.876,0.222,0.845,0.199,0.196,0.198,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenSSH,7.49,637,26,0.429,0.068,0.054,0.003,0.077,0.006,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Spark,9.16,23,36,0.576,0.167,0.441,0.174,0.111,0.136,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Thunderbird,8.22,180,149,0.918,0.036,0.681,0.194,0.235,0.213,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
BGL,0.75,49,120,0.725,0.105,0.308,0.082,0.033,0.047,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HDFS,2.04,15,14,0.851,0.000,0.759,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
