Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA,NPOP,NGEN,CXPB,MUTPB,Q,SEED
Proxifier,2.52,7,8,0.493,0.000,0.400,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Linux,5.74,17,118,0.107,0.080,0.074,0.176,0.025,0.044,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Apache,1.48,7,6,0.731,0.000,0.769,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Zookeeper,7.99,39,50,0.782,0.449,0.427,0.128,0.100,0.112,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Hadoop,11.17,23,114,0.632,0.073,0.088,0.043,0.009,0.015,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HealthApp,6.50,67,75,0.092,0.121,0.056,0.045,0.040,0.042,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenStack,10.36,38,43,0.839,0.011,0.716,0.026,0.023,0.025,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HPC,54.65,150,46,0.382,0.533,0.245,0.073,0.239,0.112,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Mac,139.17,228,341,0.517,0.117,0.313,0.075,0.050,0.060,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenSSH,13.33,29,26,0.442,0.068,0.545,0.069,0.077,0.073,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Spark,5.86,15,36,0.543,0.000,0.235,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Thunderbird,30.85,16,149,0.755,0.000,0.048,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
BGL,230.77,128,120,0.232,0.081,0.419,0.062,0.067,0.065,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HDFS,3.47,13,14,0.508,0.000,0.444,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
