EventId,EventTemplate,Occurrences
82ea09ae,Created MRAppMaster for application appattempt_1445144423722_0020_000001,1
7feac570,Executing with tokens :,1
2ad2fb0c,"Kind : YARN_AM_RM_TOKEN , Service : , Ident : ( appAttemptId { application_id { id : #spec# cluster_timestamp : #spec# } attemptId : #spec# } keyId : -127633188 )",1
0594ecc2,Using mapred newApiCommitter.,1
c0c8618d,OutputCommitter set in config null,1
de192808,* is #spec#,3
2ee5396c,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,1
db7c59ca,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,1
3d078819,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,1
7c11e369,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,1
f8594974,Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,1
e057f515,Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,1
4294ed1e,Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,1
186cb319,Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,1
698b13c9,Default file system [ hdfs : #spec# : 9000 ],3
3a03968c,Emitting job history data to the timeline server is not enabled,1
4970db4c,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,1
ca7d7941,loaded properties from hadoop-metrics2.properties,1
998f0b7e,Scheduled snapshot period at #spec# second ( s ) .,1
fc657c96,MRAppMaster metrics system started,1
d3121b5d,Adding job token for job_1445144423722_0020 to jobTokenSecretManager,1
da1ea596,Not uberizing job_1445144423722_0020 because : not enabled ; too many maps ; too much input ;,1
82830a3d,Input size for job job_1445144423722_0020 = 1256521728. Number of splits = #spec#,1
6cf00d55,Number of reduces for job job_1445144423722_0020 = #spec#,1
f818dffe,job_1445144423722_0020Job Transitioned from NEW to INITED,1
0a3732af,"MRAppMaster launching normal , non-uberized , multi-container job job_1445144423722_0020.",1
916d4a74,Using callQueue class java.util.concurrent.LinkedBlockingQueue,2
6631a8b5,Starting Socket Reader #1 for port #spec#,2
8c4d0a72,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,1
3b1b3659,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com #spec#,1
e40be51c,IPC Server Responder : starting,2
96805045,IPC Server listener on 62260 : starting,1
b2e2388a,Logging to org.slf4j.impl.Log4jLoggerAdapter ( org.mortbay.log ) via org.mortbay.log.Slf4jLog,1
0859dbfb,Http request log for http.requests.mapreduce is not defined,1
fd6dd931,Added global filter ' safety ' ( class = org.apache.hadoop.http.HttpServer2$QuotingInputFilter ),1
19eeb5b6,Added filter AM_PROXY_FILTER ( class = org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter ) to context mapreduce,1
1dffc8f3,Added filter AM_PROXY_FILTER ( class = org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter ) to context static,1
45c88c44,adding path spec : #spec#,2
e4c58ef4,Jetty bound to port #spec#,1
6b77fa65,jetty-6.1.26,1
66a74efb,Extract jar : file : /D : #spec# ! #spec# to C : \Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp,1
cb05a1ad,Started HttpServer2$SelectChannelConnectorWithSafeStartup@ #spec#,1
55267d15,Web app /mapreduce started at #spec#,1
5ba9445a,Registered webapp guice modules,1
10357c40,JOB_CREATE job_1445144423722_0020,1
8590961d,* : *,3
835f192d,IPC Server listener on 62270 : starting,1
bbe94362,Connecting to ResourceManager at msra-sa-41 #spec#,1
51608200,"maxContainerCapability : < memory : 8192 , vCores : 32 >",1
2733625c,Upper limit on the thread pool size is #spec#,1
8362f0f7,job_1445144423722_0020Job Transitioned from INITED to SETUP,1
18b1d0f6,Processing the event EventType : JOB_SETUP,1
59681fa2,job_1445144423722_0020Job Transitioned from SETUP to RUNNING,1
cc84ee30,Resolved * to /default-rack,39
7ef2190b,* Task Transitioned from NEW to SCHEDULED,11
c27b2788,* TaskAttempt Transitioned from NEW to UNASSIGNED,14
2591b4ff,"mapResourceRequest : < memory : 1024 , vCores : 1 >",1
270abf4f,"Event Writer setup for JobId : job_1445144423722_0020 , File : hdfs : #spec# : #spec#",1
6b8bd532,"reduceResourceRequest : < memory : 1024 , vCores : 1 >",1
997f037c,Before Scheduling : PendingReds : 1 ScheduledMaps : 10 ScheduledReds : 0 AssignedMaps : 0 AssignedReds : 0 CompletedMaps : 0 CompletedReds : 0 ContAlloc : 0 ContRel : 0 HostLocal : 0 RackLocal : 0,1
52f68384,"getResources ( ) for application_1445144423722_0020 : ask = 4 release = #spec# newContainers = 0 finishedContainers = 0 resourcelimit = < memory : 10240 , vCores : -17 > knownNMs = 4",1
cf0ec42b,"Recalculating schedule , headroom = < memory : 10240 , vCores : -17 >",2
bdd9c9b7,Reduce slow start threshold not met. completedMapsForReduceSlowstart #spec#,130
9996aba8,Got allocated containers #spec#,10
a3ace14b,Assigned container * to *,10
46b924a8,"Recalculating schedule , headroom = < memory : 8192 , vCores : -19 >",1
05c571fc,After Scheduling : PendingReds : 1 ScheduledMaps : 9 ScheduledReds : 0 AssignedMaps : 1 AssignedReds : 0 CompletedMaps : 0 CompletedReds : 0 ContAlloc : 1 ContRel : 0 HostLocal : 0 RackLocal : 1,1
cf38988e,The job-jar file on the remote FS is hdfs : #spec# : #spec#,1
50512cb8,The job-conf file on the remote FS is #spec#,1
60d079c6,Adding #0 tokens and #1 secret keys for NM use for launching container,1
594dcbd3,Size of containertokens_dob is #spec#,1
944f8887,Putting shuffle token in serviceData,1
ac2faad6,* TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,10
4bca6e12,Processing the event EventType : CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000002 taskAttempt attempt_1445144423722_0020_m_000000_0,1
d53d812a,Launching *,10
e0642ca2,Opening proxy : 04DN8IQ.fareast.corp.microsoft.com : 54883,1
5f440215,Shuffle port returned by ContainerManager for * : #spec#,10
0d7e51ef,TaskAttempt : [ attempt_1445144423722_0020_m_000000_0 ] using containerId : [ container_1445144423722_0020_01_000002 on NM : [ 04DN8IQ.fareast.corp.microsoft.com : 54883 ],1
5b7d44f7,* TaskAttempt Transitioned from ASSIGNED to RUNNING,10
122857a4,ATTEMPT_START *,10
2c05b880,* Task Transitioned from SCHEDULED to RUNNING,10
0edbbeaa,"getResources ( ) for application_1445144423722_0020 : ask = 4 release = #spec# newContainers = 0 finishedContainers = 0 resourcelimit = < memory : 7168 , vCores : -20 > knownNMs = 4",1
1ca3d0da,"Recalculating schedule , headroom = < memory : 7168 , vCores : -20 >",1
3e11a6bb,"Recalculating schedule , headroom = < memory : 5120 , vCores : -22 >",1
8c058da1,After Scheduling : PendingReds : 1 ScheduledMaps : 8 ScheduledReds : 0 AssignedMaps : 2 AssignedReds : 0 CompletedMaps : 0 CompletedReds : 0 ContAlloc : 2 ContRel : 0 HostLocal : 0 RackLocal : 2,1
d5bb60f3,Processing the event EventType : CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000003 taskAttempt attempt_1445144423722_0020_m_000001_0,1
28c2b0fe,Opening proxy : MININT-FNANLI5.fareast.corp.microsoft.com : 52368,4
baf649b9,TaskAttempt : [ attempt_1445144423722_0020_m_000001_0 ] using containerId : [ container_1445144423722_0020_01_000003 on NM : [ MININT-FNANLI5.fareast.corp.microsoft.com : 52368 ],1
0fb6d93f,"getResources ( ) for application_1445144423722_0020 : ask = 4 release = #spec# newContainers = 0 finishedContainers = 0 resourcelimit = < memory : 4096 , vCores : -23 > knownNMs = 4",1
8b690b04,"Recalculating schedule , headroom = < memory : 4096 , vCores : -23 >",1
d4ea8f4a,"Recalculating schedule , headroom = < memory : 3072 , vCores : -24 >",1
c4dd9ae8,After Scheduling : PendingReds : 1 ScheduledMaps : 7 ScheduledReds : 0 AssignedMaps : 3 AssignedReds : 0 CompletedMaps : 0 CompletedReds : 0 ContAlloc : 3 ContRel : 0 HostLocal : 0 RackLocal : 3,1
684c36b2,Processing the event EventType : CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000004 taskAttempt attempt_1445144423722_0020_m_000002_0,1
f4996778,TaskAttempt : [ attempt_1445144423722_0020_m_000002_0 ] using containerId : [ container_1445144423722_0020_01_000004 on NM : [ MININT-FNANLI5.fareast.corp.microsoft.com : 52368 ],1
