Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA,NPOP,NGEN,CXPB,MUTPB,Q,SEED
Proxifier,14.63,22,8,0.013,0.000,0.067,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Linux,19.67,115,118,0.224,0.028,0.841,0.104,0.102,0.103,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Apache,3.16,6,6,1.000,0.000,1.000,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Zookeeper,10.65,46,50,0.839,0.451,0.771,0.239,0.220,0.229,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Hadoop,37.47,170,114,0.890,0.080,0.676,0.071,0.105,0.085,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HealthApp,30.48,83,75,0.338,0.027,0.722,0.181,0.200,0.190,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenStack,144.32,520,43,0.213,0.000,0.057,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HPC,23.84,77,46,0.806,0.632,0.472,0.247,0.413,0.309,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Mac,161.30,648,341,0.603,0.037,0.504,0.028,0.053,0.036,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenSSH,20.21,25,26,0.541,0.000,0.706,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Spark,526.88,780,36,0.442,0.003,0.061,0.006,0.139,0.012,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Thunderbird,113.65,195,149,0.659,0.017,0.715,0.118,0.154,0.134,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
BGL,62.69,137,120,0.937,0.080,0.786,0.088,0.100,0.093,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HDFS,11.74,16,14,0.998,0.000,0.867,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
