Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA,NPOP,NGEN,CXPB,MUTPB,Q,SEED
Proxifier,3.84,17,8,0.516,0.000,0.480,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Linux,6.09,106,118,0.671,0.110,0.768,0.330,0.297,0.312,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Apache,2.88,6,6,1.000,0.000,1.000,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Zookeeper,6.71,60,50,0.660,0.428,0.491,0.117,0.140,0.127,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Hadoop,22.72,111,114,0.867,0.083,0.782,0.153,0.149,0.151,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HealthApp,3.76,58,75,0.397,0.040,0.632,0.224,0.173,0.195,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenStack,13.48,100,43,0.722,0.018,0.266,0.030,0.070,0.042,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HPC,9.67,40,46,0.325,0.226,0.395,0.075,0.065,0.070,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Mac,23.15,391,341,0.595,0.156,0.669,0.156,0.179,0.167,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenSSH,13.19,29,26,0.621,0.133,0.655,0.172,0.192,0.182,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Spark,17.41,35,36,0.906,0.004,0.732,0.200,0.194,0.197,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Thunderbird,8.12,150,149,0.576,0.020,0.736,0.173,0.174,0.174,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
BGL,17.13,142,120,0.711,0.065,0.580,0.077,0.092,0.084,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HDFS,5.91,16,14,0.998,0.010,0.867,0.062,0.071,0.067,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
