EventId,EventTemplate,Occurrences
dc2c74b7,PacketResponder <*> for block <*> terminating,311
b676a5a3,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,294
c39b7f4c,Received block <*> of size 67108864 from /<*>,277
bbb51b95,Receiving block <*> src: /<*> dest: /<*>,292
0fe2ccf0,BLOCK* <*> <*> <*> <*> <*> <*> <*> <*>,121
0ce98313,<*> <*> <*> <*>,22
46003790,Received block <*> of size <*> from /<*>,15
5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,20
dba996ef,Deleting block <*> file <*>,263
d1cd25b5,<*> <*> <*> <*> <*> <*> <*> to <*>,161
d63ef163,BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>,224
