LineId,Time,Component,Pid,Content,EventId,EventTemplate,ParameterList
1,20171223-22:15:29:606,Step_LSC,30002312,onStandStepChanged 3579,93067dc4,onStandStepChanged <*>,"['3', '5', '7', '9']"
2,20171223-22:15:29:615,Step_LSC,30002312,onExtend:1514038530000 14 0 4,3e662616,<*> <*> 0 <*>,"['onExtend:151403853000', '14 0 4']"
3,20171223-22:15:29:633,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,NONE,NONE,[]
4,20171223-22:15:29:635,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,b0190ab5,processHandleBroadcastAction <*>,"['a', 'c', 't', 'i', 'o', 'n', ':', 'a', 'n', 'd', 'r', 'o', 'i', 'd', '.', 'i', 'n', 't', 'e', 'n', 't', '.', 'a', 'c', 't', 'i', 'o', 'n', '.', 'S', 'C', 'R', 'E', 'E', 'N', '_', 'O', 'N']"
5,20171223-22:15:29:635,Step_StandStepCounter,30002312,flush sensor data,NONE,NONE,[]
6,20171223-22:15:29:635,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,0abafcf6,<*> <*> = <*>,"['getTodayTotalDetailSteps ', '1514038440000##6993##548365##8661##12266##27164404']"
7,20171223-22:15:29:636,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,NONE,NONE,[]
8,20171223-22:15:29:636,Step_LSC,30002312,onStandStepChanged 3579,93067dc4,onStandStepChanged <*>,"['3', '5', '7', '9']"
9,20171223-22:15:29:645,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126775,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '6', '7', '7', '5']"
10,20171223-22:15:29:648,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240,"['c', 'a', 'l', 'c', 'u', 'l', 'a', 't', 'e', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', 'W', 'i', 't', 'h', 'C', 'a', 'c', 'h', 'e', ' ', 't', 'o', 't', 'a', 'l', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', '=', '2', '4', '0']"
11,20171223-22:15:29:649,Step_StandReportReceiver,30002312,REPORT : 7007 5002 150089 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240,"['007', '002', '0089']"
12,20171223-22:15:29:737,Step_LSC,30002312,onExtend:1514038530000 0 0 4,fed117f9,onExtend:15140<*>000 0 0 <*>,"['38530', '4']"
13,20171223-22:15:29:738,Step_LSC,30002312,onStandStepChanged 3579,93067dc4,onStandStepChanged <*>,"['3', '5', '7', '9']"
14,20171223-22:15:29:792,Step_LSC,30002312,onStandStepChanged 3580,93067dc4,onStandStepChanged <*>,"['3', '5', '8', '0']"
15,20171223-22:15:29:800,Step_LSC,30002312,onExtend:1514038530000 1 0 4,3e662616,<*> <*> 0 <*>,"['onExtend:151403853000', '1 0 4']"
16,20171223-22:15:29:950,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,0abafcf6,<*> <*> = <*>,"['getTodayTotalDetailSteps ', '1514038440000##7007##548365##8661##12361##27173954']"
17,20171223-22:15:29:950,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,NONE,NONE,[]
18,20171223-22:15:29:959,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126797,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '6', '7', '9', '7']"
19,20171223-22:15:29:962,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240,"['c', 'a', 'l', 'c', 'u', 'l', 'a', 't', 'e', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', 'W', 'i', 't', 'h', 'C', 'a', 'c', 'h', 'e', ' ', 't', 'o', 't', 'a', 'l', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', '=', '2', '4', '0']"
20,20171223-22:15:29:962,Step_StandReportReceiver,30002312,REPORT : 7008 5003 150111 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240,"['008', '003', '0111']"
21,20171223-22:15:30:331,Step_LSC,30002312,onStandStepChanged 3581,93067dc4,onStandStepChanged <*>,"['3', '5', '8', '1']"
22,20171223-22:15:30:335,Step_LSC,30002312,onExtend:1514038531000 1 0 4,3e662616,<*> <*> 0 <*>,"['onExtend:151403853100', '1 0 4']"
23,20171223-22:15:30:632,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,0abafcf6,<*> <*> = <*>,"['getTodayTotalDetailSteps ', '1514038440000##7008##548365##8661##12456##27174269']"
24,20171223-22:15:30:632,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,NONE,NONE,[]
25,20171223-22:15:30:639,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126818,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '6', '8', '1', '8']"
26,20171223-22:15:30:641,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240,"['c', 'a', 'l', 'c', 'u', 'l', 'a', 't', 'e', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', 'W', 'i', 't', 'h', 'C', 'a', 'c', 'h', 'e', ' ', 't', 'o', 't', 'a', 'l', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', '=', '2', '4', '0']"
27,20171223-22:15:30:642,Step_StandReportReceiver,30002312,REPORT : 7009 5004 150132 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240,"['009', '004', '0132']"
28,20171223-22:15:30:841,Step_LSC,30002312,onStandStepChanged 3583,93067dc4,onStandStepChanged <*>,"['3', '5', '8', '3']"
29,20171223-22:15:30:858,Step_LSC,30002312,onExtend:1514038531000 2 0 4,3e662616,<*> <*> 0 <*>,"['onExtend:151403853100', '2 0 4']"
30,20171223-22:15:31:142,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,0abafcf6,<*> <*> = <*>,"['getTodayTotalDetailSteps ', '1514038440000##7009##548365##8661##12551##27174951']"
31,20171223-22:15:31:143,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,NONE,NONE,[]
32,20171223-22:15:31:157,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126861,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '6', '8', '6', '1']"
33,20171223-22:15:31:160,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240,"['c', 'a', 'l', 'c', 'u', 'l', 'a', 't', 'e', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', 'W', 'i', 't', 'h', 'C', 'a', 'c', 'h', 'e', ' ', 't', 'o', 't', 'a', 'l', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', '=', '2', '4', '0']"
34,20171223-22:15:31:160,Step_StandReportReceiver,30002312,REPORT : 7011 5005 150175 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240,"['011', '005', '0175']"
35,20171223-22:15:31:841,Step_LSC,30002312,onStandStepChanged 3584,93067dc4,onStandStepChanged <*>,"['3', '5', '8', '4']"
36,20171223-22:15:31:862,Step_LSC,30002312,onExtend:1514038532000 1 0 4,3e662616,<*> <*> 0 <*>,"['onExtend:151403853200', '1 0 4']"
37,20171223-22:15:32:145,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,0abafcf6,<*> <*> = <*>,"['getTodayTotalDetailSteps ', '1514038440000##7011##548365##8661##12646##27175461']"
38,20171223-22:15:32:147,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,NONE,NONE,[]
39,20171223-22:15:32:156,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126882,ec91e8ec,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '6', '8', '8', '2']"
40,20171223-22:15:32:162,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,49e93189,calculateAltitudeWithCache totalAltitude=240,"['c', 'a', 'l', 'c', 'u', 'l', 'a', 't', 'e', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', 'W', 'i', 't', 'h', 'C', 'a', 'c', 'h', 'e', ' ', 't', 'o', 't', 'a', 'l', 'A', 'l', 't', 'i', 't', 'u', 'd', 'e', '=', '2', '4', '0']"
41,20171223-22:15:32:163,Step_StandReportReceiver,30002312,REPORT : 7012 5006 150197 240,7604cbef,REPORT : 7<*> 5<*> 15<*> 240,"['012', '006', '0197']"
42,20171223-22:15:32:340,Step_LSC,30002312,onStandStepChanged 3585,93067dc4,onStandStepChanged <*>,"['3', '5', '8', '5']"
43,20171223-22:15:32:354,Step_LSC,30002312,onExtend:1514038533000 1 0 4,3e662616,<*> <*> 0 <*>,"['onExtend:151403853300', '1 0 4']"
44,20171223-22:15:32:647,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7012##548365##8661##12741##27176464,0abafcf6,<*> <*> = <*>,"['getTodayTotalDetailSteps ', '1514038440000##7012##548365##8661##12741##27176464']"
45,20171223-22:15:32:648,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,NONE,NONE,[]
