Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA,NPOP,NGEN,CXPB,MUTPB,Q,SEED
Proxifier,3.17,18,8,0.518,0.000,0.462,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Linux,5.90,13,118,0.296,0.120,0.076,0.154,0.017,0.031,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Apache,4.25,10,6,0.731,0.424,0.625,0.200,0.333,0.250,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Zookeeper,5.18,36,50,0.726,0.451,0.442,0.167,0.120,0.140,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Hadoop,4.62,13,114,0.422,0.218,0.094,0.154,0.018,0.031,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HealthApp,3.24,12,75,0.331,0.323,0.092,0.250,0.040,0.069,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenStack,3.94,28,43,0.867,0.076,0.732,0.250,0.163,0.197,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HPC,4.41,37,46,0.839,0.645,0.530,0.378,0.304,0.337,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Mac,4.99,232,341,0.557,0.174,0.457,0.177,0.120,0.143,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenSSH,5.37,19,26,0.521,0.298,0.400,0.316,0.231,0.267,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Spark,5.05,31,36,0.685,0.377,0.358,0.129,0.111,0.119,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Thunderbird,4.40,29,149,0.882,0.008,0.213,0.034,0.007,0.011,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
BGL,4.06,79,120,0.573,0.198,0.302,0.152,0.100,0.121,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HDFS,2.77,11,14,0.545,0.287,0.320,0.182,0.143,0.160,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
