Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA,NPOP,NGEN,CXPB,MUTPB,Q,SEED
Proxifier,1.87,94,8,0.526,0.000,0.137,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Linux,0.80,99,118,0.605,0.087,0.802,0.162,0.136,0.147,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Apache,0.66,6,6,1.000,0.694,1.000,0.500,0.500,0.500,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Zookeeper,0.66,57,50,0.964,0.452,0.729,0.211,0.240,0.224,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Hadoop,0.91,167,114,0.777,0.113,0.605,0.138,0.202,0.164,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HealthApp,0.69,214,75,0.639,0.152,0.367,0.065,0.187,0.097,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenStack,3.10,451,43,0.764,0.000,0.089,0.000,0.000,0.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HPC,0.60,46,46,0.654,0.529,0.739,0.391,0.391,0.391,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Mac,14.74,358,341,0.756,0.033,0.684,0.053,0.056,0.054,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
OpenSSH,2.20,27,26,0.555,0.191,0.679,0.222,0.231,0.226,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Spark,1.48,58,36,0.905,0.321,0.511,0.155,0.250,0.191,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
Thunderbird,1.62,152,149,0.844,0.026,0.638,0.145,0.148,0.146,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
BGL,2.58,262,120,0.786,0.197,0.487,0.042,0.092,0.058,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
HDFS,2.08,14,14,1.000,0.297,1.000,0.214,0.214,0.214,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
