LineId,Time,Level,Content,EventTemplate,EventId
1,Sun Dec 04 04:47:44 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
2,Sun Dec 04 04:47:44 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
3,Sun Dec 04 04:51:08 2005,notice,jk2_init() Found child 6725 in scoreboard slot 10,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
4,Sun Dec 04 04:51:09 2005,notice,jk2_init() Found child 6726 in scoreboard slot 8,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
5,Sun Dec 04 04:51:09 2005,notice,jk2_init() Found child 6728 in scoreboard slot 6,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
6,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
7,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
8,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
9,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
10,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
11,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
12,Sun Dec 04 04:51:37 2005,notice,jk2_init() Found child 6736 in scoreboard slot 10,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
13,Sun Dec 04 04:51:38 2005,notice,jk2_init() Found child 6733 in scoreboard slot 7,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
14,Sun Dec 04 04:51:38 2005,notice,jk2_init() Found child 6734 in scoreboard slot 9,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
15,Sun Dec 04 04:51:52 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
16,Sun Dec 04 04:51:52 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
17,Sun Dec 04 04:51:55 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
18,Sun Dec 04 04:52:04 2005,notice,jk2_init() Found child 6738 in scoreboard slot 6,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
19,Sun Dec 04 04:52:04 2005,notice,jk2_init() Found child 6741 in scoreboard slot 9,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
20,Sun Dec 04 04:52:05 2005,notice,jk2_init() Found child 6740 in scoreboard slot 7,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
21,Sun Dec 04 04:52:05 2005,notice,jk2_init() Found child 6737 in scoreboard slot 8,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
22,Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
23,Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
24,Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
25,Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
26,Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 7,mod_jk child workerEnv in error state <*>,a54f5ca4
27,Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 7,mod_jk child workerEnv in error state <*>,a54f5ca4
28,Sun Dec 04 04:52:36 2005,notice,jk2_init() Found child 6748 in scoreboard slot 6,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
29,Sun Dec 04 04:52:36 2005,notice,jk2_init() Found child 6744 in scoreboard slot 10,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
30,Sun Dec 04 04:52:36 2005,notice,jk2_init() Found child 6745 in scoreboard slot 8,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
31,Sun Dec 04 04:52:49 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
32,Sun Dec 04 04:52:49 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
33,Sun Dec 04 04:52:52 2005,error,mod_jk child workerEnv in error state 7,mod_jk child workerEnv in error state <*>,a54f5ca4
34,Sun Dec 04 04:52:52 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
35,Sun Dec 04 04:53:05 2005,notice,jk2_init() Found child 6750 in scoreboard slot 7,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
36,Sun Dec 04 04:53:05 2005,notice,jk2_init() Found child 6751 in scoreboard slot 9,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
37,Sun Dec 04 04:53:05 2005,notice,jk2_init() Found child 6752 in scoreboard slot 10,jk2_init(<*>) <*> <*> <*> <*> <*> <*> <*>,d6ce92fd
38,Sun Dec 04 04:53:15 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
39,Sun Dec 04 04:53:15 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init(<*>) <*> <*>,0e7efa0f
40,Sun Dec 04 04:53:16 2005,error,mod_jk child workerEnv in error state 7,mod_jk child workerEnv in error state <*>,a54f5ca4
41,Sun Dec 04 04:53:16 2005,error,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,a54f5ca4
