EventId,EventTemplate,Occurrences
ff52c40c,<*>,20
0ce98313,<*> <*> <*> <*>,56
2bd60a8d,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>,12
4d7db854,ClusterFileSystem: ServerFileSystem domain cluster_usr_backup is no longer served by node node-<*>,2
a41c0682,ClusterFileSystem: ServerFileSystem domain cluster_var_backup is no longer served by node node-<*>,1
d9172717,ClusterFileSystem: ServerFileSystem domain root12_tmp is no longer served by node node-<*>,1
076509a0,ClusterFileSystem: ServerFileSystem domain root14_tmp is no longer served by node node-<*>,1
59f00885,ClusterFileSystem: ServerFileSystem domain root17_domain is no longer served by node node-<*>,1
42a5e8eb,ClusterFileSystem: ServerFileSystem domain root18_tmp is no longer served by node node-<*>,1
1b566f83,ClusterFileSystem: ServerFileSystem domain root1_domain_backup is no longer served by node node-<*>,1
a88f38ae,ClusterFileSystem: ServerFileSystem domain root1_tmp_backup is no longer served by node node-<*>,1
6fa3b34d,ClusterFileSystem: ServerFileSystem domain root23_local is no longer served by node node-<*>,1
59097a0d,ClusterFileSystem: ServerFileSystem domain root25_local is no longer served by node node-<*>,1
d366c3f9,ClusterFileSystem: ServerFileSystem domain root26_domain is no longer served by node node-<*>,1
370262a2,ClusterFileSystem: ServerFileSystem domain root28_domain is no longer served by node node-<*>,3
9b230e1d,ClusterFileSystem: ServerFileSystem domain root29_local is no longer served by node node-<*>,1
29d91dfa,ClusterFileSystem: ServerFileSystem domain root30_domain is no longer served by node node-<*>,1
028a47c7,ClusterFileSystem: ServerFileSystem domain root5_domain is no longer served by node node-<*>,1
86393fb3,ClusterFileSystem: ServerFileSystem domain root5_tmp is no longer served by node node-<*>,1
3bcfba6f,ClusterFileSystem: ServerFileSystem domain root8_domain is no longer served by node node-<*>,1
1a1449f7,ClusterFileSystem: ServerFileSystem domain root9_domain is no longer served by node node-<*>,1
14807f97,ClusterFileSystem: ServerFileSystem domain root_domain is no longer served by node node-<*>,2
2b7761bd,ClusterFileSystem: ServerFileSystem domain sc_cluster_backup is no longer served by node node-<*>,1
eed323f3,ClusterFileSystem: There is no server for ServerFileSystem <*> <*>,32
995606e5,Command <*> <*> <*>,11
873dc5a4,Component State Change: Component \042SCSI-WWID:<*>:<*>-<*>-<*>-<*>-<*>-<*>-<*>-<*> <*> <*> <*> <*> <*> (<*>),1
ec995f24,Component State Change: Component \042alt0\042 is in <*> <*> <*> (<*>),11
b13aa186,Failed <*> <*>,1
76588bd2,Fan speeds ( <*> <*> <*> **** <*> <*> ),79
3ea2d652,Fan speeds ( <*> <*> <*> <*> <*> <*> ),11
ec4e03ec,Link error,13
f2a9554b,Link error on <*> <*> <*>-<*>:<*>:<*>:<*>,4
db5aa7f9,Link in reset,9
641961b9,Link ok,13
0e83c8fd,Linkerror event interval <*>,394
3c3688b9,NIFF: node node-<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,2
