LineId,Date,Time,Level,Process,Component,Content,EventTemplate,EventId
1,2015-10-18,"18:01:47,978",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Created MRAppMaster for application appattempt_1445144423722_0020_000001,Created MRAppMaster for application appattempt_1445144423722_0020_000001,82ea09ae
2,2015-10-18,"18:01:48,963",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Executing with tokens:,Executing with tokens:,3c5bb15c
3,2015-10-18,"18:01:48,963",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)","Kind: <*>, <*>: , <*>: (<*> { <*> { id: <*> <*>: <*> } <*>: <*> } <*>: -<*>)",43506798
4,2015-10-18,"18:01:49,228",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Using mapred newApiCommitter.,Using mapred newApiCommitter.,0594ecc2
5,2015-10-18,"18:01:50,353",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter set in config null,<*> <*> <*> <*> <*>,fb195195
6,2015-10-18,"18:01:50,509",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,<*> is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,80568597
7,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.<*>.<*>.<*>.<*>.<*>,3c372652
8,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.<*>.<*>.<*>.<*>.<*>.<*>$<*>,4eeec629
9,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.<*>.<*>.<*>.<*>.<*>.<*>$<*>,286ffb20
10,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.<*>.<*>.<*>.<*>.<*>.<*>$<*>,8bbdb007
11,2015-10-18,"18:01:50,572",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for <*> <*>.<*>.<*>.<*>.<*>.<*>.<*>.<*>,996bdb9a
