EventId,EventTemplate,Occurrences
dede275d,<*> <*>,1
0ce98313,<*> <*> <*> <*>,10
fb195195,<*> <*> <*> <*> <*>,1
cf76616e,<*> <*> <*> <*> MININT-FNANLI5.fareast.corp.microsoft.com,2
3ca99c52,<*> <*> <*> <*>: <*>,3
a73b7e3f,<*> <*> <*> <*>: <*> for container container_1445144423722_0020_01_000002 taskAttempt attempt_1445144423722_0020_m_000000_0,1
2e4ea7db,<*> <*> <*> <*>: <*> for container container_1445144423722_0020_01_000003 taskAttempt attempt_1445144423722_0020_m_000001_0,2
89b1dfbd,<*> <*> <*> <*>: <*> for container container_1445144423722_0020_01_000004 taskAttempt attempt_1445144423722_0020_m_000002_0,2
7c7b7b9b,<*> <*> <*> <*>: <*> for container container_1445144423722_0020_01_000005 taskAttempt attempt_1445144423722_0020_m_000003_0,2
6372a815,<*> <*> <*> <*>: <*> for container container_1445144423722_0020_01_000006 taskAttempt attempt_1445144423722_0020_m_000004_0,1
307721a9,<*> <*> <*> <*>: <*> for container container_1445144423722_0020_01_000007 taskAttempt attempt_1445144423722_0020_m_000005_0,1
f13aac80,<*> <*> <*> <*>: <*> for container container_1445144423722_0020_01_000008 taskAttempt attempt_1445144423722_0020_m_000006_0,1
8d2f664c,<*> <*> <*> <*>: <*> for container container_1445144423722_0020_01_000009 taskAttempt attempt_1445144423722_0020_m_000007_0,1
a762efaa,<*> <*> <*> <*>: <*> for container container_1445144423722_0020_01_000010 taskAttempt attempt_1445144423722_0020_m_000008_0,1
a1635597,<*> <*> <*> <*>: <*> for container container_1445144423722_0020_01_000011 taskAttempt attempt_1445144423722_0020_m_000009_0,1
0b74fce8,<*> <*> <*> the thread pool size is <*>,1
dd492dba,<*> <*> from hadoop-<*>.<*>,1
13c4a37e,<*> <*> system [hdfs:<*>:<*>],3
f350e669,"<*> <*>, <*>=<<*>:<*>, <*>:-<*>>",131
5d3c5601,<*> <*>-<*>-<*>.fareast.corp.microsoft.com to /default-rack,33
9a0711f7,<*> <*>-<*>.fareast.corp.microsoft.com to /default-rack,4
e2cb1551,<*> <*>.<*>.<*>.<*>.<*> to /default-rack,2
af0da6f2,<*> Task Transitioned from NEW to SCHEDULED,2
a66db97c,<*> Task Transitioned from SCHEDULED to RUNNING,1
2a94fbaf,<*> TaskAttempt Transitioned from ASSIGNED to RUNNING,2
83c1b8ed,<*> TaskAttempt Transitioned from NEW to UNASSIGNED,2
e03f95cb,<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,2
1f295382,<*> completed <*> <*>,2
8d321202,<*> is <*>,1
80568597,<*> is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,1
ff53d661,<*> job-conf file on the remote <*> is <*>,1
8ba9d9d2,<*> job-jar file on the remote <*> is hdfs:<*>:<*>,1
e1d1c3aa,<*> to ResourceManager at msra-sa-<*>,1
b1de1a6c,<*>.<*>.<*>-<*>-<*>-<*> : <*>,1
99a227ed,<*>: <*>,1
f3ce3022,"<*>: <memory:<*>, <*>:<*>>",1
90999ba3,<*>: [attempt_1445144423722_0020_m_000000_0] using containerId: [<*> on NM: [04DN8IQ.fareast.corp.microsoft.com:<*>],1
823ae101,<*>: [attempt_1445144423722_0020_m_000001_0] using containerId: [container_1445144423722_0020_01_000003 on NM: [MININT-FNANLI5.fareast.corp.microsoft.com:<*>],1
8437f4da,<*>: [attempt_1445144423722_0020_m_000002_0] using containerId: [container_1445144423722_0020_01_000004 on NM: [MININT-FNANLI5.fareast.corp.microsoft.com:<*>],1
5d6c0b68,<*>: [attempt_1445144423722_0020_m_000003_0] using containerId: [container_1445144423722_0020_01_000005 on NM: [MSRA-SA-<*>.<*>.<*>.<*>.<*>:<*>],1
cbff7374,<*>: [attempt_1445144423722_0020_m_000004_0] using containerId: [container_1445144423722_0020_01_000006 on NM: [MSRA-SA-<*>.<*>.<*>.<*>.<*>:<*>],1
