LineId,Time,Component,Pid,Content,EventTemplate,EventId
1,20171223-22:15:29:606,Step_LSC,30002312,onStandStepChanged 3579,onStandStepChanged <*>,93067dc4
2,20171223-22:15:29:615,Step_LSC,30002312,onExtend:1514038530000 14 0 4,onExtend:<*> <*> <*> <*>,959a0db3
3,20171223-22:15:29:633,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,onReceive action: android.intent.action.SCREEN_ON,b080c338
4,20171223-22:15:29:635,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,dd5e8a75
5,20171223-22:15:29:635,Step_StandStepCounter,30002312,flush sensor data,flush <*> <*>,63254ea4
6,20171223-22:15:29:635,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
7,20171223-22:15:29:636,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
8,20171223-22:15:29:636,Step_LSC,30002312,onStandStepChanged 3579,onStandStepChanged <*>,93067dc4
9,20171223-22:15:29:645,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126775,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
10,20171223-22:15:29:648,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
11,20171223-22:15:29:649,Step_StandReportReceiver,30002312,REPORT : 7007 5002 150089 240,REPORT : <*> <*> <*> <*>,5cdf7db4
12,20171223-22:15:29:737,Step_LSC,30002312,onExtend:1514038530000 0 0 4,onExtend:<*> <*> <*> <*>,959a0db3
13,20171223-22:15:29:738,Step_LSC,30002312,onStandStepChanged 3579,onStandStepChanged <*>,93067dc4
14,20171223-22:15:29:792,Step_LSC,30002312,onStandStepChanged 3580,onStandStepChanged <*>,93067dc4
15,20171223-22:15:29:800,Step_LSC,30002312,onExtend:1514038530000 1 0 4,onExtend:<*> <*> <*> <*>,959a0db3
16,20171223-22:15:29:950,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
17,20171223-22:15:29:950,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,bb249f67
18,20171223-22:15:29:959,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126797,calculateCaloriesWithCache totalCalories=<*>,ec91e8ec
19,20171223-22:15:29:962,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache <*>=<*>,b823261f
20,20171223-22:15:29:962,Step_StandReportReceiver,30002312,REPORT : 7008 5003 150111 240,REPORT : <*> <*> <*> <*>,5cdf7db4
21,20171223-22:15:30:331,Step_LSC,30002312,onStandStepChanged 3581,onStandStepChanged <*>,93067dc4
22,20171223-22:15:30:335,Step_LSC,30002312,onExtend:1514038531000 1 0 4,onExtend:<*> <*> <*> <*>,959a0db3
23,20171223-22:15:30:632,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,0da1d5d7
