LineId,Month,Date,Time,Level,Component,PID,Content,EventTemplate,EventId
1,Jun,14,15:16:01,combo,sshd(pam_unix),19939,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>,1f72f211
2,Jun,14,15:16:02,combo,sshd(pam_unix),19937,check pass; user unknown,check pass; user unknown,b780997e
3,Jun,14,15:16:02,combo,sshd(pam_unix),19937,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>,1f72f211
4,Jun,15,02:04:59,combo,sshd(pam_unix),20882,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>.<*>-<*>.<*>.<*>  <*>=<*>,5b528c57
5,Jun,15,02:04:59,combo,sshd(pam_unix),20884,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>.<*>-<*>.<*>.<*>  <*>=<*>,5b528c57
6,Jun,15,02:04:59,combo,sshd(pam_unix),20883,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>.<*>-<*>.<*>.<*>  <*>=<*>,5b528c57
7,Jun,15,02:04:59,combo,sshd(pam_unix),20885,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>.<*>-<*>.<*>.<*>  <*>=<*>,5b528c57
8,Jun,15,02:04:59,combo,sshd(pam_unix),20886,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>.<*>-<*>.<*>.<*>  <*>=<*>,5b528c57
9,Jun,15,02:04:59,combo,sshd(pam_unix),20892,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>.<*>-<*>.<*>.<*>  <*>=<*>,5b528c57
10,Jun,15,02:04:59,combo,sshd(pam_unix),20893,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>.<*>-<*>.<*>.<*>  <*>=<*>,5b528c57
11,Jun,15,02:04:59,combo,sshd(pam_unix),20896,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>.<*>-<*>.<*>.<*>  <*>=<*>,5b528c57
12,Jun,15,02:04:59,combo,sshd(pam_unix),20897,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>.<*>-<*>.<*>.<*>  <*>=<*>,5b528c57
13,Jun,15,02:04:59,combo,sshd(pam_unix),20898,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>.<*>-<*>.<*>.<*>  <*>=<*>,5b528c57
14,Jun,15,04:06:18,combo,su(pam_unix),21416,session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),1a7c474c
15,Jun,15,04:06:19,combo,su(pam_unix),21416,session closed for user cyrus,session closed for user cyrus,fe6f65a7
16,Jun,15,04:06:20,combo,logrotate,,ALERT exited abnormally with [1],ALERT exited abnormally with [<*>],64042dcf
17,Jun,15,04:12:42,combo,su(pam_unix),22644,session opened for user news by (uid=0),session opened for user news by (uid=<*>),b258ebc6
18,Jun,15,04:12:43,combo,su(pam_unix),22644,session closed for user news,session closed for user news,70fd00b7
19,Jun,15,12:12:34,combo,sshd(pam_unix),23397,check pass; user unknown,check pass; user unknown,b780997e
20,Jun,15,12:12:34,combo,sshd(pam_unix),23397,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>,1f72f211
21,Jun,15,12:12:34,combo,sshd(pam_unix),23395,check pass; user unknown,check pass; user unknown,b780997e
22,Jun,15,12:12:34,combo,sshd(pam_unix),23395,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>,1f72f211
23,Jun,15,12:12:34,combo,sshd(pam_unix),23404,check pass; user unknown,check pass; user unknown,b780997e
24,Jun,15,12:12:34,combo,sshd(pam_unix),23404,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>,1f72f211
25,Jun,15,12:12:34,combo,sshd(pam_unix),23399,check pass; user unknown,check pass; user unknown,b780997e
26,Jun,15,12:12:34,combo,sshd(pam_unix),23399,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>,1f72f211
27,Jun,15,12:12:34,combo,sshd(pam_unix),23406,check pass; user unknown,check pass; user unknown,b780997e
28,Jun,15,12:12:34,combo,sshd(pam_unix),23406,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>,1f72f211
29,Jun,15,12:12:34,combo,sshd(pam_unix),23396,check pass; user unknown,check pass; user unknown,b780997e
30,Jun,15,12:12:34,combo,sshd(pam_unix),23394,check pass; user unknown,check pass; user unknown,b780997e
31,Jun,15,12:12:34,combo,sshd(pam_unix),23407,check pass; user unknown,check pass; user unknown,b780997e
32,Jun,15,12:12:34,combo,sshd(pam_unix),23394,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>,1f72f211
33,Jun,15,12:12:34,combo,sshd(pam_unix),23403,check pass; user unknown,check pass; user unknown,b780997e
34,Jun,15,12:12:34,combo,sshd(pam_unix),23396,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>,1f72f211
35,Jun,15,12:12:34,combo,sshd(pam_unix),23407,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>,1f72f211
36,Jun,15,12:12:34,combo,sshd(pam_unix),23403,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>,1f72f211
37,Jun,15,12:12:34,combo,sshd(pam_unix),23412,check pass; user unknown,check pass; user unknown,b780997e
38,Jun,15,12:12:34,combo,sshd(pam_unix),23412,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>,1f72f211
39,Jun,15,12:13:19,combo,sshd(pam_unix),23414,check pass; user unknown,check pass; user unknown,b780997e
40,Jun,15,12:13:19,combo,sshd(pam_unix),23414,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>,1f72f211
41,Jun,15,12:13:20,combo,sshd(pam_unix),23416,check pass; user unknown,check pass; user unknown,b780997e
42,Jun,15,12:13:20,combo,sshd(pam_unix),23416,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>,1f72f211
43,Jun,15,14:53:32,combo,sshd(pam_unix),23661,check pass; user unknown,check pass; user unknown,b780997e
44,Jun,15,14:53:32,combo,sshd(pam_unix),23661,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>.<*>.<*>,20653d32
45,Jun,15,14:53:32,combo,sshd(pam_unix),23663,check pass; user unknown,check pass; user unknown,b780997e
46,Jun,15,14:53:32,combo,sshd(pam_unix),23663,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>.<*>.<*>,20653d32
47,Jun,15,14:53:32,combo,sshd(pam_unix),23664,check pass; user unknown,check pass; user unknown,b780997e
48,Jun,15,14:53:32,combo,sshd(pam_unix),23664,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>.<*>.<*>,20653d32
49,Jun,15,14:53:33,combo,sshd(pam_unix),23665,check pass; user unknown,check pass; user unknown,b780997e
50,Jun,15,14:53:33,combo,sshd(pam_unix),23665,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>.<*>.<*>,20653d32
51,Jun,15,14:53:34,combo,sshd(pam_unix),23669,check pass; user unknown,check pass; user unknown,b780997e
52,Jun,15,14:53:34,combo,sshd(pam_unix),23669,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>.<*>.<*>,20653d32
53,Jun,15,14:53:35,combo,sshd(pam_unix),23671,check pass; user unknown,check pass; user unknown,b780997e
54,Jun,15,14:53:35,combo,sshd(pam_unix),23671,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>.<*>.<*>,20653d32
55,Jun,15,14:53:35,combo,sshd(pam_unix),23673,check pass; user unknown,check pass; user unknown,b780997e
56,Jun,15,14:53:35,combo,sshd(pam_unix),23673,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>.<*>.<*>,20653d32
57,Jun,15,14:53:35,combo,sshd(pam_unix),23674,check pass; user unknown,check pass; user unknown,b780997e
58,Jun,15,14:53:35,combo,sshd(pam_unix),23674,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>.<*>.<*>,20653d32
59,Jun,15,14:53:36,combo,sshd(pam_unix),23678,check pass; user unknown,check pass; user unknown,b780997e
60,Jun,15,14:53:36,combo,sshd(pam_unix),23678,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>.<*>.<*>,20653d32
61,Jun,15,14:53:36,combo,sshd(pam_unix),23677,check pass; user unknown,check pass; user unknown,b780997e
62,Jun,15,14:53:36,combo,sshd(pam_unix),23677,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>.<*>.<*>,20653d32
63,Jun,15,20:05:31,combo,sshd(pam_unix),24138,check pass; user unknown,check pass; user unknown,b780997e
64,Jun,15,20:05:31,combo,sshd(pam_unix),24138,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>.<*>.<*>.<*>,4a396534
65,Jun,15,20:05:31,combo,sshd(pam_unix),24137,check pass; user unknown,check pass; user unknown,b780997e
66,Jun,15,20:05:31,combo,sshd(pam_unix),24137,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>.<*>.<*>.<*>,4a396534
67,Jun,15,20:05:31,combo,sshd(pam_unix),24141,check pass; user unknown,check pass; user unknown,b780997e
68,Jun,15,20:05:31,combo,sshd(pam_unix),24141,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>.<*>.<*>.<*>,4a396534
69,Jun,15,20:05:31,combo,sshd(pam_unix),24140,check pass; user unknown,check pass; user unknown,b780997e
70,Jun,15,20:05:31,combo,sshd(pam_unix),24140,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,authentication failure; logname= uid=<*> <*>=<*> <*>=<*> <*>= <*>=<*>-<*>-<*>-<*>.<*>.<*>.<*>,4a396534
71,Jun,15,20:05:31,combo,sshd(pam_unix),24139,check pass; user unknown,check pass; user unknown,b780997e
