EventId,EventTemplate,Occurrences
4fa731f2,0MB <*> <*>.,1
a2116165,126MB <*> <*>.,1
e77d9537,ACPI <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
71940e4a,ACPI: <*> <*> <*> <*> PCI <*> <*> <*>,1
ca8292d9,ACPI: <*> <*>.,1
7b82a332,ACPI: Subsystem revision <*> ,1
64042dcf,ALERT exited abnormally with [<*>],43
fba77d40,"ANONYMOUS FTP LOGIN FROM <*>,  (<*>)",2
b9408002,Authentication failed from <*> (<*>): <*> <*> <*> <*>,15
f6368821,Authentication failed from <*> (<*>): <*> <*> <*> <*> <*> <*>,8
5dba1930,BIOS-e820: <*> - <*> (<*>),5
8c537990,BIOS-provided physical RAM map:,1
f518230d,Bringing up loopback interface:  succeeded,1
63518062,Built <*> <*>,1
1257465a,"CPU <*> <*>, <*>=<*> <*>=<*>",1
b47e70f3,CPU: Intel Pentium III (Coppermine) stepping <*>,1
06872faf,"CPU: L1 <*> <*>: <*>, <*> <*> <*>: <*>",1
d678ffa6,CPU: L2 cache: 256K,1
5062ad6a,Calibrating delay loop... <*>.<*> <*>,1
5f8ab71a,Capability LSM <*>,1
0dfe904f,Checking 'hlt' instruction... OK.,1
4b3abecc,Console: colour VGA+ <*>,1
03649f38,Couldn't authenticate user,1
af501e9e,"DMA zone: <*> <*>, <*> <*>:<*>",1
5a679158,DMI <*>.<*> <*>.,1
0569ece3,"Dentry cache hash table entries: <*> (<*>: <*>, <*> <*>)",1
7fa47d7d,Detected <*>.<*> <*> <*>.,1
9c64e959,"Dquot-cache hash table entries: <*> (<*> <*>, <*> <*>)",1
1d8fe60a,Enabling fast FPU save and restore... done.,1
f34121e0,Enabling unmasked SIMD FPU exception <*>... done.,1
a31006da,Failure registering capabilities with the kernel,1
2745ae34,HCI daemon ver <*>.<*> <*>,1
9b96e95b,"HighMem zone: <*> <*>, <*> <*>:<*>",1
3c918e8f,Initializing CPU#<*>,1
2b566107,Initializing Cryptographic API,1
e3936715,Initializing random <*> <*>:  succeeded,1
a6a6a756,"Inode-cache hash table entries: <*> (<*>: <*>, <*> <*>)",1
