LineId,Month,Date,Time,User,Component,PID,Address,Content,EventTemplate,EventId
1,Jul,1,09:00:55,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,IOThunderboltSwitch<<*>>(<*>)::<*> - <*> <*> <*> <*> <*> = <*> <*> = <*> <*> = <*>,e0562617
2,Jul,1,09:01:05,calvisitor-10-105-160-95,com.apple.CDScheduler,43,,Thermal pressure state: 1 Memory pressure state: 0,Thermal pressure state: <*> <*> <*> state: <*>,d730fb11
3,Jul,1,09:01:06,calvisitor-10-105-160-95,QQ,10018,,FA||Url||taskID[2019352994] dealloc,FA||<*>||<*>[<*>] <*>,09e4793b
4,Jul,1,09:02:26,calvisitor-10-105-160-95,kernel,0,,ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],ARPT: <*>.<*>: <*>::<*>: <*>[<*>],64f6f3c3
5,Jul,1,09:02:26,authorMacBook-Pro,kernel,0,,ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],ARPT: <*>.<*>: <*>::<*>: <*>[<*>],64f6f3c3
6,Jul,1,09:03:11,calvisitor-10-105-160-95,mDNSResponder,91,,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),mDNS_DeregisterInterface: Frequent transitions <*> <*> awdl0 (FE80:<*>:<*>:<*>:<*>:<*>:<*>:<*>),fc57437c
7,Jul,1,09:03:13,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620749.901374: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,","ARPT: <*>.<*>: <*> <*>: <*>,  <*>: <*> <*>,  '<*>': <*>, '<*>': <*>,",353908f9
8,Jul,1,09:04:33,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096","ARPT: <*>.<*>: <*>: <*>: <*> <*>: <*>, <*>: <*>, <*> <*>: <*>",5d14e054
9,Jul,1,09:04:33,authorMacBook-Pro,kernel,0,,ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload,ARPT: <*>.<*>: <*>: Wake Reason: Wake on Scan offload,3bcef02b
10,Jul,1,09:04:37,authorMacBook-Pro,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,__73-[<*> <*>:<*>:<*>:<*>:]<*> <*> <*> <*> <*>,331d4de9
11,Jul,1,09:12:20,authorMacBook-Pro,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,92121a91
12,Jul,1,09:12:21,calvisitor-10-105-160-95,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,__73-[<*> <*>:<*>:<*>:<*>:]<*> <*> <*> <*> <*>,331d4de9
13,Jul,1,09:18:16,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs","ARPT: <*>.<*>: <*>: <*>: <*> <*> <*>, <*> <*> <*>",197b21e0
14,Jul,1,09:19:03,calvisitor-10-105-160-95,kernel,0,,AppleCamIn::systemWakeCall - messageType = 0xE0000340,AppleCamIn::<*> - <*> = <*>,2ae4e34c
15,Jul,1,09:19:03,authorMacBook-Pro,configd,53,,"setting hostname to ""authorMacBook-Pro.local""","setting hostname to ""authorMacBook-Pro.local""",a23397bf
16,Jul,1,09:19:13,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 439034 seconds.  Ignoring.","<*>: <*> <*> <*> to run this job; however, but the start time isn't for <*> <*>.  <*>.",a896cf5a
17,Jul,1,09:21:57,authorMacBook-Pro,corecaptured,31174,,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,CCIOReporterFormatter::<*> <*> <*>,0d41a3a4
18,Jul,1,09:21:58,calvisitor-10-105-160-95,com.apple.WebKit.WebContent,25654,,[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,<*>[<*>:<*>:<*>.<*>] <<<< <*> >>>> <*>: [<*>] <*> <*> <*> <*> <*> ,03befa18
19,Jul,1,09:22:02,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2450 seconds.  Ignoring.","<*>: <*> <*> <*> to run this job; however, but the start time isn't for <*> <*>.  <*>.",a896cf5a
20,Jul,1,09:22:25,calvisitor-10-105-160-95,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,92121a91
21,Jul,1,09:23:26,calvisitor-10-105-160-95,kernel,0,,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,AirPort: Link Down on awdl0. Reason <*> (<*>).,0d494bf8
22,Jul,1,09:23:26,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,IOThunderboltSwitch<<*>>(<*>)::<*> - <*> <*> <*> <*> <*> = <*> <*> = <*> <*> = <*>,e0562617
23,Jul,1,09:24:13,calvisitor-10-105-160-95,kernel,0,,"PM response took 2010 ms (54, powerd)","PM response took <*> <*> (<*>, <*>)",ed71cf61
24,Jul,1,09:25:21,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438666 seconds.  Ignoring.","<*>: <*> <*> <*> to run this job; however, but the start time isn't for <*> <*>.  <*>.",a896cf5a
25,Jul,1,09:25:45,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621131.293163: wl0: Roamed or switched channel, reason #8, bssid 5c:50:15:4c:18:13, last RSSI -64","ARPT: <*>.<*>: <*>: <*> <*> <*> channel, reason #<*>, <*> <*>:<*>:<*>:<*>:<*>:<*>, <*> <*> -<*>",33948616
