EventId,EventTemplate,Occurrences
0c0f8500,<*> <*>:<*>:<*>.<*> | <*> | <*>  | <*>.<*>:<*>:<*>             | <*> <*> <*>. <*> = ******<*>.,1
156f26e3,<*> <*>:<*>:<*>.<*> | <*> | <*>  | <*>.<*>:<*>:<*>             | <*> <*> <*>. <*> = <*>.,3
e1536298,<*>(<*>) <*> network-outbound <*>,29
bca6d48e,<*>-<*>-<*> <*>:<*>:<*>.<*> <*> [<*>] <*>: <*>,1
2fed7796,"<*>-<*>-<*> <*>:<*>:<*>.<*> <*>[<*>/<*>] [<*>=<*>] +[<*> <*>:<*>:<*>:] <*> <*> <*> <*> <*> '<*>' <*> <*> <*> '<*> <*> <*> <*> <*> <*>[<*>] <*> <*> <*> <*>[<*>] <*> <*> <*> <*>[<*>.<*>]=""<*>"" <*> (<*>=""<*>"")'",1
026c8dd1,<*>-<*>-<*> <*>:<*>:<*>.<*> <*>[<*>/<*>] [<*>=<*>] -[<*> <*>:<*>:<*>:<*>:<*>:<*>:<*>:] <*> <*> <*> <*>.,1
481b9433,"<*>-<*>-<*> <*>:<*>:<*>.<*> <*>[<*>/<*>] [<*>=<*>] -[<*> <*>:<*>:] <*> for updates for ""<*>"" <*> <*> <<*>:<*> <*>=<<*>:<*> <*>=<<*>:<*> <*>=""<*>"" <*>=<<*>:<*> <*>=""<*>"" <*>=<*> > >> <*>=<<*>:<*> <*>=<<*>:<*>> <*>=<*> <*>=<*> <*>=<*>.<*> <*>=<*> <*>=<*> <*>=<*> <*>=<*> <*>=( ) > <*>=(<*>) <*>=<<*>:<*> <*>=""<*>""> <*>=<*> >",1
cbf50663,"<*>-<*>-<*> <*>:<*>:<*>.<*> <*>[<*>/<*>] [<*>=<*>] -[<*> <*>:] <*> <*> <*> <*> <*>, <*>:'<*>'.",2
6ef33b1b,"<*>-<*>-<*> <*>:<*>:<*>.<*> <*>[<*>/<*>] [<*>=<*>] -[<*> <*>:] <*> <*> <*> <*> <*>: ""<*>:<*>?<*>=<*>&<*>=<*>:<*>""",2
23651fa3,"<*>-<*>-<*> <*>:<*>:<*>.<*> <*>[<*>/<*>] [<*>=<*>] -[<*> <*>:] <*> <*> <*> URL: ""https:<*>?<*>=<*>&<*>=<*>:<*>""",1
7fdf8aee,"<*>-<*>-<*> <*>:<*>:<*>.<*> <*>[<*>/<*>] [<*>=<*>] -[<*> <*>:] <*> for self update with Engine: <KSUpdateEngine:<*> <*>=<<*>:<*> <*>=<<*>:<*> <*>=""<*>"" <*>=<<*>:<*> <*>=""<*>"" <*>=<*> > >> <*>=<<*>:<*> <*>=<<*>:<*>> <*>=<*> <*>=<*> <*>=<*>.<*> <*>=<*> <*>=<*> <*>=<*> <*>=<*> <*>=( ) > <*>=(<*>) <*>=<<*>:<*> <*>=""<*>""> <*>=<*> >",1
5050e9f0,<*>-<*>-<*> <*>:<*>:<*>.<*> <*>[<*>/<*>] [<*>=<*>] -[<*> <*>] <*> <*> <*> <*> for ticket(s): {( <KSTicket:<*> <*>=<*> <*>=<*> <*>=<<*>:<*> <*>=<*> <*>.<*>> <*>=<*> <*>=<*>:<*> <*>=<*>-<*>-<*> <*>:<*>:<*> <*>=<*> <*>.<*> <*>=<*> <*>=<*> <*> <*>.<*> <*>=<*> <*>=<*> <*>.<*> <*>=<*> <*>=<*>:<*>: <*>=<*> <*>=<*> > )} <*> <*>: <<*>:<*> <*>=<<*>:<*>> >,1
