EventId,EventTemplate,Occurrences
ee29e32a,<*> <*> : <*> <*> <*> <*> <*> <*> - <*> <*> <*> <*> <*> <*>,44
f9773a86,"<*> <*> : <*> <*> <*> <*> <*> <*> - <*> <*> <*> <*> <*> <*> <*> <*> <*>, <*> <*> <*>",17
31221a04,<*> <*> : <*> <*> <*> <*> <*> <*> - <*> <*> <*> <*> <*>.,3
51898ca3,<*> <*> : <*> <*> <*> <*> <*> <*> <*> <*>.,31
be2214fc,<*> <*> <*> <*> <*> <*>,956
b4e0fc44,"<*> <*>, <*> <*> (<*> <*>) <*>, <*> <*> (<*> <*>) <*>, <*> <*>",303
db1595fa,"<*> <*>, <*> <*> (<*> <*>) <*>, <*> <*> <*>, <*> <*>",121
fde45e61,"<*> <*>, <*> <*> <*>, <*> <*> (<*> <*>) <*>, <*> <*>",168
d8b8e6f1,"<*> <*>, <*> <*> <*>, <*> <*> <*>, <*> <*>",355
6a8fe2e3,awqiizxequsixgr:<*> <*> : <*> <*> <*> <*> <*> <*> - <*> <*> <*> <*> <*> <*>,1
535c9eee,wpad:<*> <*> : <*> <*> <*> <*> <*> <*> - <*> <*> <*> <*> <*> <*>,1
