LineId,Date,Time,Level,Component,Content,EventTemplate,EventId
1,17/06/09,20:10:40,INFO,executor.CoarseGrainedExecutorBackend,"Registered signal handlers for [TERM, HUP, INT]","Registered signal handlers <*> [<*>, <*>, <*>]",716d6c6f
2,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi","Changing view acls to: yarn,curi",7103ffa2
3,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi","Changing modify acls to: yarn,curi",91c45352
4,17/06/09,20:10:40,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","SecurityManager: authentication disabled; ui acls disabled; users <*> <*> <*>: <*>(<*>, <*>); <*> <*> <*> <*>: <*>(<*>, <*>)",9bb91b06
5,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi","Changing view acls to: yarn,curi",7103ffa2
6,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi","Changing modify acls to: yarn,curi",91c45352
7,17/06/09,20:10:41,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","SecurityManager: authentication disabled; ui acls disabled; users <*> <*> <*>: <*>(<*>, <*>); <*> <*> <*> <*>: <*>(<*>, <*>)",9bb91b06
8,17/06/09,20:10:41,INFO,slf4j.Slf4jLogger,Slf4jLogger started,Slf4jLogger started,b923f8c3
9,17/06/09,20:10:41,INFO,Remoting,Starting remoting,Starting remoting,e99571c6
10,17/06/09,20:10:41,INFO,Remoting,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],Remoting started; listening on addresses :[akka.tcp:<*>@<*>-<*>-<*>:<*>],24592409
11,17/06/09,20:10:41,INFO,util.Utils,Successfully started service 'sparkExecutorActorSystem' on port 55904.,Successfully started service '<*>' <*> <*> <*>.,778815c0
12,17/06/09,20:10:41,INFO,storage.DiskBlockManager,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,Created local directory <*> <*>,2da93419
13,17/06/09,20:10:41,INFO,storage.MemoryStore,MemoryStore started with capacity 17.7 GB,MemoryStore started with <*> <*>.<*> <*>,52f8bb46
14,17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069,Connecting to driver: spark:<*>@<*>,2f290e54
15,17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,Successfully registered with driver,Successfully registered with <*>,ebecddf7
16,17/06/09,20:10:42,INFO,executor.Executor,Starting executor ID 5 on host mesos-slave-07,Starting executor ID <*> <*> <*> <*>-<*>-<*>,4ee0f961
17,17/06/09,20:10:42,INFO,util.Utils,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.,Successfully started service '<*>' <*> <*> <*>.,778815c0
18,17/06/09,20:10:42,INFO,netty.NettyBlockTransferService,Server created on 40984,Server created on <*>,03459f52
19,17/06/09,20:10:42,INFO,storage.BlockManagerMaster,Trying to register BlockManager,Trying to register BlockManager,17f432d4
20,17/06/09,20:10:42,INFO,storage.BlockManagerMaster,Registered BlockManager,Registered BlockManager,1c507e44
21,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 0,Got assigned task <*>,9ba7fdc2
22,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 1,Got assigned task <*>,9ba7fdc2
23,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 2,Got assigned task <*>,9ba7fdc2
24,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 3,Got assigned task <*>,9ba7fdc2
25,17/06/09,20:10:45,INFO,executor.Executor,Running task 0.0 in stage 0.0 (TID 0),Running task <*>.<*> <*> <*> <*>.<*> (<*> <*>),9bd3ad52
26,17/06/09,20:10:45,INFO,executor.Executor,Running task 2.0 in stage 0.0 (TID 2),Running task <*>.<*> <*> <*> <*>.<*> (<*> <*>),9bd3ad52
27,17/06/09,20:10:45,INFO,executor.Executor,Running task 1.0 in stage 0.0 (TID 1),Running task <*>.<*> <*> <*> <*>.<*> (<*> <*>),9bd3ad52
28,17/06/09,20:10:45,INFO,executor.Executor,Running task 3.0 in stage 0.0 (TID 3),Running task <*>.<*> <*> <*> <*>.<*> (<*> <*>),9bd3ad52
29,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 4,Got assigned task <*>,9ba7fdc2
30,17/06/09,20:10:45,INFO,executor.Executor,Running task 4.0 in stage 0.0 (TID 4),Running task <*>.<*> <*> <*> <*>.<*> (<*> <*>),9bd3ad52
