EventId,EventTemplate,Occurrences
e9f0aa94,<*>#<*># (<*> <*>: <*> <*> <*> <*>:<*>:<*> <*> ,1
e20522dd,<*>#<*>#-<*> (<*> <*>: <*> <*> <*> <*>:<*>:<*> <*> ,1
fe571ca0,<*>.<*>.<*>-<*> (<*>-<*>-<*>) <*>: #<*>#@#<*>#,1
86cc50d0,Assuming 33MHz system bus speed for PIO modes; override <*> <*>=<*>,1
953a8d97,Autodetecting RAID arrays.,2
29ea26cd,C(<*>) <*>-<*> <*> <*> ,4
c15b599a,Cannot <*> file <*> for writing (No such file or directory),1
ddbca8b9,CentOS-<*> (<*> <*> <*> <*>),1
a74214e1,Changing permissions on special file <*>,1
4211e0af,Compressed image found at block <*>,1
1a2ac521,Creating Topspin /dev entries:,1
0f70f13e,DHCPACK on <*> to <*>:<*>:<*>:<*>:<*>:<*> <*> <*>,3
3df151ca,DHCPDISCOVER from <*>:<*>:<*>:<*>:<*>:<*> <*> <*>,5
03698451,DHCPDISCOVER from <*>:<*>:<*>:<*>:<*>:<*> <*> <*>: <*> <*>: <*> <*> <*>,15
969c32f8,DHCPOFFER on <*> to <*>:<*>:<*>:<*>:<*>:<*> <*> <*>,5
8cbd76c5,DHCPREQUEST for <*> (<*>) <*> <*>:<*>:<*>:<*>:<*>:<*> <*> <*>,3
0d7ed8dd,DHCPREQUEST for <*> (<*>) <*> <*>:<*>:<*>:<*>:<*>:<*> <*> <*>: <*> <*> <*>.,9
8c035a2d,DSDT (v001 DELL PE BKC <*> <*> <*>) @ <*>,1
7fa47d7d,Detected <*>.<*> <*> <*>.,1
7a6b7907,"Device: <*>, <*> <*> -<*> <*> <*> <*> <*> <*> <*> <*>",1
ca4f755d,Direct-<*> ANSI SCSI revision: <*>,1
b79ffc59,Disabled at runtime.,1
2c42f2d4,Disk quotas dquot_6.<*>.<*>,1
1c8797d9,FADT (v001 DELL PE BKC <*> <*> <*>) @ <*>,1
57e22033,HPET (v001 DELL PE BKC <*> <*> <*>) @ <*>,1
bfeb7091,HPET id: <*> <*>: <*>,1
706b437a,Hash tables configured (established <*> <*> <*>),1
2c85526c,INT_SRC_OVR (bus <*> <*> <*> <*> <*> <*> <*>),2
4fe41399,IOAPIC (id[<*>] <*>[<*>] <*>[<*>]),3
8c51f196,IRQ0 used by override.,1
b9228d7a,IRQ2 used by override.,1
35b10d5b,IRQ9 used by override.,1
7f533fb9,Initializing.,1
bfcd95ed,Installing public key data,1
3b4121a9,Intel(<*>) <*>(<*>) <*> <*>.<*> <*> <*>,1
5737bee6,Interpreter <*>,1
9ee8ca01,L2 cache: 2048K,5
76754231,LAPIC (acpi_id[<*>] <*>[<*>] <*>),4
54d784ef,LAPIC_NMI (acpi_id[<*>] <*> <*> <*>[<*>]),4
7f146802,LSI Logic MegaRAID driver,1
7f47bdfa,Local APIC address <*>,1
8482eb30,Local disconnected: Connection <*>.,3
4c9f0da8,MADT (v001 DELL PE BKC <*> <*> <*>) @ <*>,1
c562423e,MCFG (v001 DELL PE BKC <*> <*> <*>) @ <*>,1
3c28d42e,MegaRAID <*>: <*> <*> <*> <*> <*>: <*>,1
7648f6ce,Mounted <*> (<*> <*>).,1
6b2eefbb,Mounting <*> <*>: failed,1
180c1c25,Mounting <*> <*>: succeeded,1
181ce94a,My unqualified host name (aadmin1) unknown; sleeping for retry,1
f76c2544,My unqualified host name (badmin1) unknown; sleeping for retry,1
14086c68,My unqualified host name (cadmin1) unknown; sleeping for retry,1
545ada7a,My unqualified host name (dadmin1) unknown; sleeping for retry,1
9303e229,My unqualified host name (eadmin1) unknown; sleeping for retry,1
e5e50af3,Now running on #<*>#'<*> <*>.,2
d1461b15,PCI Hot Plug PCI Core version: <*>.<*>,1
1541fac9,PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> *<*> <*>),1
4bd96103,PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>,1
ae3de723,"PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>, <*>.",3
549222fe,PCI Interrupt Link [LNKC] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>,1
602c437c,"PCI Interrupt Link [LNKE] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>, <*>.",1
d9188fb3,"PCI Interrupt Link [LNKF] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *<*>, <*>.",1
18e241de,PCI Interrupt Routing Table [\_SB_.PCI0.PALO.DOBA._PRT],1
b00482ac,PCI Interrupt Routing Table [\_SB_.PCI0.PALO.DOBB._PRT],1
1eb5dac0,PCI Interrupt Routing Table [\_SB_.PCI0.PALO._PRT],1
7862f83a,PCI Interrupt Routing Table [\_SB_.PCI0.PBHI.PXB1._PRT],1
a4663032,PCI Interrupt Routing Table [\_SB_.PCI0.PBHI.PXB2._PRT],1
25c404d4,PCI Interrupt Routing Table [\_SB_.PCI0.PBHI._PRT],1
627b8b43,PCI Interrupt Routing Table [\_SB_.PCI0.PBLO._PRT],1
b7d38de7,PCI Interrupt Routing Table [\_SB_.PCI0.PICH._PRT],1
2a5c137d,PCI Interrupt Routing Table [\_SB_.PCI0.VPR0._PRT],1
c858c59a,PCI Interrupt Routing Table [\_SB_.PCI0._PRT],1
73608764,PCI Root Bridge [<*>] (<*>:<*>),1
8b98f374,"PCI interrupt <*>:<*>:<*>.<*>[<*>] -> <*> <*> (<*>, <*>) -> <*> <*>",11
d0b5a377,PE/<*> <*>: <*> <*> <*> <*>: <*>.<*>,1
d9018d7b,PS/<*> <*> <*> <*> for all mice,1
ee83b678,Physical Processor ID: <*>,5
04ea23b0,Power Button (FF) [PWRF],1
c9eb3a70,Probing PCI hardware (bus <*>),1
b4604159,Processor <*> <*> <*>: <*>,1
5005632d,Processor [<*>] (supports C1),3
7078e5ee,Processor [CPU3] (supports C1),1
3a979195,RNG <*> <*>,1
0cce8192,RRD_update (<*> <*>): <*> <*> to update using time <*> <*> <*> <*> <*> <*> <*> (<*> <*> <*> <*>),10
c254f139,RRD_update (<*>): <*> <*> to update using time <*> <*> <*> <*> <*> <*> <*> (<*> <*> <*> <*>),1
a72c01ef,RSDP (v000 DELL ) @ <*>,1
93c0d1be,RSDT (v001 DELL PE BKC <*> <*> <*>) @ <*>,1
6a32f3ee,Reading included configuration file: <*> [<*>=<*>] [<*>=<*>],17
bfcbf8a7,Received SNMP packet(s) <*> #<*>#,1
c47c3599,Registered protocol family <*>,5
4e48601f,Registering netfilter hooks,1
30c0ff51,Registering secondary module capability,1
e235b78c,SPCR (v001 DELL PE BKC <*> <*> <*>) @ <*>,1
dfbe2b19,START: <*> <*>=<*> <*>=<*>,1
5464051d,Server listening on :: port <*>.,1
74f3b29b,Started working: <*> <*> <*>,1
25ea518d,Starting in permissive mode,1
2d44d780,Starting ts_fixup: succeeded,1
e6ad81ec,Subsystem revision <*> ,1
c5862456,"Trace cache: 12K uops, L1 D cache: 16K",5
34f8214d,Transparent bridge - <*>:<*>:<*>.<*>,1
76621df2,Unknown <*> <*>(<*>) <*>(<*>){<*>} <*>(<*>) <*> <*>,1
e3539859,Unregistering netfilter hooks,1
d95e0937,"User #<*>#, <*> <*> #<*>#, <*>.",2
43d9cbe1,Using <*>.<*> <*> <*> <*>.,1
a18fe907,Using ACPI for IRQ routing,1
e8ca34b7,Using HPET based timekeeping.,1
5925103d,Using IOAPIC for interrupt routing,1
bc478f58,Using MMCONFIG at <*> ,1
415e7cee,Using configuration type <*>,1
8bbc159f,Using software bounce buffering for IO (<*>),1
c33dd02a,Version <*>.<*>.<*> <*>,1
708630cc,Wait for ready failed before probe !,6
7cb56752,Warning: we failed to resolve data source name an14 an15 an16 an17 an18 an19 an20 an21 an22 an23 an24 <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,2
