Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA,NPOP,NGEN,CXPB,MUTPB,Q,SEED
Proxifier,109.64,11,8,0.025,0.000,0.316,0.000,0.000,0.000,75.000,15.000,0.500,0.200,0.000,0.000
Linux,70.44,144,118,0.176,0.123,0.832,0.292,0.356,0.321,75.000,15.000,0.500,0.200,0.000,0.000
Apache,65.59,6,6,1.000,0.270,1.000,0.167,0.167,0.167,75.000,15.000,0.500,0.200,0.000,0.000
Zookeeper,48.83,51,50,0.969,0.178,0.832,0.176,0.180,0.178,75.000,15.000,0.500,0.200,0.000,0.000
Hadoop,138.88,252,114,0.750,0.017,0.481,0.071,0.158,0.098,75.000,15.000,0.500,0.200,0.000,0.000
HealthApp,124.76,75,75,1.000,0.698,1.000,0.400,0.400,0.400,75.000,15.000,0.500,0.200,0.000,0.000
OpenStack,184.89,404,43,0.224,0.000,0.076,0.000,0.000,0.000,75.000,15.000,0.500,0.200,0.000,0.000
HPC,37.46,79,46,0.912,0.444,0.560,0.228,0.391,0.288,75.000,15.000,0.500,0.200,0.000,0.000
Mac,372.10,331,341,0.786,0.112,0.857,0.148,0.144,0.146,75.000,15.000,0.500,0.200,0.000,0.000
OpenSSH,76.40,139,26,0.626,0.029,0.255,0.029,0.154,0.048,75.000,15.000,0.500,0.200,0.000,0.000
Spark,191.19,353,36,0.553,0.175,0.118,0.023,0.222,0.041,75.000,15.000,0.500,0.200,0.000,0.000
Thunderbird,157.29,238,149,0.645,0.032,0.646,0.164,0.262,0.202,75.000,15.000,0.500,0.200,0.000,0.000
BGL,105.48,122,120,0.846,0.121,0.893,0.246,0.250,0.248,75.000,15.000,0.500,0.200,0.000,0.000
HDFS,128.25,17,14,0.841,0.068,0.774,0.118,0.143,0.129,75.000,15.000,0.500,0.200,0.000,0.000
